cited_title,cited_doi,cited_publication_date,cited_author,cited_mag_id,cited_publication_year,cited_retraction_year,coci_citing_entities,coci_num_citations
The Nature of Creativity,10.1207/s15326934crj1801_10,06/08/2010,Robert J Sternberg,2151119690,06/08/2010,12/03/2019,10.1109/icnc.2009.129;; 10.1109/icalt.2014.149;; 10.1109/ieem.2017.8290199;; 10.36345/kacst.2010.28.6.010;; 10.1007/s13132-019-00623-2;; 10.17478/jegys.673022;; 10.1080/1360144x.2020.1712210;; 10.1007/978-3-030-38129-5_11;; 10.1177/2515127420912503;; 10.1007/978-3-030-35574-6_23;; 10.1088/1742-6596/1321/2/022063;; 10.1111/ssm.12355;; 10.1386/jmte_00004_1;; 10.1177/1354856519880791;; 10.2478/v10195-011-0042-5;; 10.1007/978-3-030-47415-7_96;; 10.1088/1742-6596/1521/2/022012;; 10.1088/1742-6596/1521/3/032036;; 10.1088/1742-6596/1521/4/042121;; 10.15688/lp.jvolsu.2019.4.11;; 10.3846/cs.2020.11027;; 10.3390/su12093605;; 10.3390/su12104203;; 10.1075/ml.00018.kor;; 10.1007/s10648-020-09547-9;; 10.1002/9781119568124.ch30;; 10.1017/jmo.2020.10;; 10.1002/jocb.464;; 10.1111/caim.12391;; 10.1177/1932202x20918203;; 10.1386/josc_00022_1;; 10.1002/9781118970843.ch343;; 10.3389/fpsyg.2020.575067;; 10.4018/978-1-7998-3473-1.ch128;; 10.3390/jintelligence8040037;; 10.1080/03004430.2020.1813122;; 10.1080/15505170.2020.1808126;; 10.4000/rfp.5130;; 10.1108/ijshe-06-2019-0198;; 10.1007/978-3-319-15347-6_353;; 10.46840/ec.2018.10.03;; 10.1007/s40692-020-00175-4;; 10.1080/10400419.2016.1195651;; 10.1080/10400419.2016.1195655;; 10.1080/10400419.2017.1263502;; 10.1080/10400419.2017.1263512;; 10.1080/10400419.2017.1302779;; 10.1080/10400419.2017.1360070;; 10.1080/10400419.2017.1376543;; 10.1080/10400419.2018.1411546;; 10.1080/10400419.2018.1411565;; 10.1080/10400419.2018.1446503;; 10.1080/10400419.2018.1446748;; 10.1080/10400419.2018.1446852;; 10.1080/10400419.2018.1488195;; 10.1080/10400419.2019.1641677;; 10.1080/10400419.2010.523390;; 10.1007/s10726-009-9158-x;; 10.25273/jipm.v6i2.1766;; 10.1057/978-1-137-55243-3_6;; 10.1108/s2051-229520160000002001;; 10.1108/sjme-10-2018-0047;; 10.7202/1050975ar;; 10.1080/00043125.2016.1141644;; 10.1080/14703297.2013.796723;; 10.1080/14703297.2019.1572525;; 10.1100/2012/210953;; 10.1260/1757-2223.4.1.25;; 10.1017/9781316691649;; 10.1017/9781316691649.001;; 10.1017/9781316691649.002;; 10.1017/9781316691649.003;; 10.1017/9781316691649.004;; 10.1017/9781316691649.005;; 10.1017/9781316691649.006;; 10.1017/9781316691649.007;; 10.1017/9781316691649.008;; 10.1017/9781316691649.009;; 10.1017/9781316691649.010;; 10.1017/9781316691649.011;; 10.1017/9781316691649.012;; 10.1017/9781316691649.013;; 10.1017/9781316691649.014;; 10.1017/9781316691649.015;; 10.1017/9781316691649.016;; 10.1017/9781316691649.017;; 10.1017/9781316691649.018;; 10.1017/9781316691649.019;; 10.1007/978-3-642-21678-7_13;; 10.1002/pchj.13;; 10.3846/20294913.2015.1056279;; 10.3846/23450479.2016.1223765;; 10.3846/cs.2018.271;; 10.3846/cs.2019.4313;; 10.3846/cs.2019.9141;; 10.1080/01443410.2011.557044;; 10.1080/10137548.2008.9687883;; 10.1177/0098628318796924;; 10.1002/acp.2857;; 10.1007/978-3-319-99163-4_17;; 10.1007/978-3-319-99163-4_6;; 10.1524/9783486716825.bm;; 10.17002/sil..40.201607.77;; 10.2752/175693810x12774625387477;; 10.2752/175693814x13916967094759;; 10.2753/imo0020-8825440402;; 10.1590/s1413-85572008000100008;; 10.1007/s11818-015-0039-z;; 10.1007/s11858-012-0467-1;; 10.1080/17543266.2013.835875;; 10.1080/17543266.2015.1018958;; 10.1080/17543266.2018.1516807;; 10.1080/17543266.2010.542185;; 10.1007/978-3-319-14017-9_7;; 10.1145/2671470.2671472;; 10.1109/hicss.2012.13;; 10.1109/icdmw.2013.28;; 10.1109/tale.2014.7062638;; 10.1109/iemc.2007.5235024;; 10.1109/compsac.2018.10215;; 10.1109/culturecomputing.2013.25;; 10.1007/978-3-319-94794-5_7;; 10.1007/978-3-319-21924-0_17;; 10.1007/978-3-319-21924-0_7;; 10.1007/978-3-319-22041-3_4;; 10.1111/bjet.12629;; 10.1080/1359432x.2015.1029046;; 10.1007/978-981-10-7524-7_2;; 10.1007/978-981-10-7524-7_4;; 10.1007/978-981-10-7524-7_7;; 10.1145/3286689.3286698;; 10.1080/21622965.2015.1119692;; 10.1111/j.1465-3435.2010.01431.x;; 10.1007/978-0-85729-224-7_25;; 10.1177/1847979019849135;; 10.1177/1938965512471892;; 10.3390/su8111193;; 10.3390/su9111979;; 10.1057/9781137511805_17;; 10.1080/14790726.2018.1520894;; 10.4018/ij3dim.2013010101;; 10.4018/jsita.2011070101;; 10.1007/978-1-4614-7753-2_126;; 10.1007/978-1-4614-7883-6_126-1;; 10.1111/j.1475-5661.2010.00390.x;; 10.1111/ejed.12270;; 10.3389/fpsyg.2014.00761;; 10.1101/184754;; 10.1088/1742-6596/1114/1/012027;; 10.1088/1742-6596/1286/1/012055;; 10.1088/1742-6596/947/1/012023;; 10.1111/pirs.12180;; 10.1007/978-981-287-618-8_1;; 10.1177/0149206314546196;; 10.1177/0149206317741963;; 10.1177/0149206318788435;; 10.1177/0162353211417221;; 10.24106/kefdergi.368886;; 10.1007/s10606-017-9280-2;; 10.1007/s10643-012-0532-y;; 10.1371/journal.pone.0150421;; 10.20972/kjee.28..201705.107;; 10.32609/0042-8736-2018-9-70-94;; 10.1177/0255761415607081;; 10.1177/2158244015601719;; 10.1177/2158244015611448;; 10.1177/2158244019835919;; 10.1002/9781119945000.ch20;; 10.1007/s12045-019-0810-8;; 10.1007/s12124-017-9406-6;; 10.1002/tesj.472;; 10.1002/tesq.211;; 10.1515/quageo-2015-0015;; 10.1177/0305735618805837;; 10.1080/13562517.2017.1379487;; 10.1002/ciuz.201700755;; 10.1080/23311908.2018.1493806;; 10.1111/jtsb.12069;; 10.1080/15332276.2018.1547620;; 10.1007/978-3-642-31991-4_6;; 10.1111/jcal.12057;; 10.1007/s11628-009-0083-5;; 10.4018/978-1-4666-4703-9.ch004;; 10.4018/978-1-4666-6591-0.ch009;; 10.4018/978-1-4666-8403-4.ch026;; 10.3389/fpsyg.2018.01315;; 10.3389/fpsyg.2019.00105;; 10.3389/fpsyg.2019.00381;; 10.1007/978-3-319-97085-1_15;; 10.1177/0002764293037001003;; 10.1002/sd.540;; 10.1017/dsi.2019.12;; 10.1080/15401383.2019.1581116;; 10.1080/15427609.2018.1489097;; 10.1177/0887302x15579990;; 10.1111/dsji.12073;; 10.1007/978-3-319-59545-0_10;; 10.1007/s13132-016-0420-6;; 10.1007/s11528-013-0685-6;; 10.1007/s11528-013-0714-5;; 10.1007/s11528-016-0151-3;; 10.1177/0022022116680479;; 10.1007/978-1-4614-5749-7_10;; 10.1177/003172171209400203;; 10.1177/0033294116646021;; 10.1080/04419057.2009.9674603;; 10.1002/job.1943;; 10.1080/07256868.2017.1291495;; 10.1002/9781118956588.ch22;; 10.1590/0102.3772e3435;; 10.1590/1807-7692bar2015140007;; 10.1590/1982-02752016000300013;; 10.1002/9781118367377.ch3;; 10.1111/nyas.13136;; 10.1111/geer.12165;; 10.1080/00098655.2016.1170448;; 10.1080/00140139.2017.1349940;; 10.3390/jintelligence3030073;; 10.5861/ijrsp.2015.923;; 10.1007/978-3-319-46233-2_3;; 10.1111/apps.12080;; 10.1080/03043797.2013.824411;; 10.1080/03050068.2018.1541665;; 10.1080/03055698.2015.1018871;; 10.1080/03057267.2012.655038;; 10.1080/0305764x.2013.860081;; 10.1080/0305764x.2016.1267710;; 10.1080/03075079.2019.1593350;; 10.1177/1326365x13517185;; 10.1177/1354067x12464987;; 10.1186/s12909-016-0823-x;; 10.2304/eerj.2014.13.1.107;; 10.1007/s00371-015-1193-9;; 10.2501/jar-2017-015;; 10.1111/caim.12110;; 10.1111/caim.12256;; 10.1080/14479338.2017.1369141;; 10.1080/14616734.2012.661602;; 10.9722/jgte.2016.26.4.677;; 10.1007/s10551-014-2106-y;; 10.18023/kjece.2017.37.5.018;; 10.1002/cad.20147;; 10.1007/978-94-6209-512-0_10;; 10.1007/978-94-6300-064-2_1;; 10.1007/978-94-6300-506-7_6;; 10.1007/978-1-4471-4111-2_10;; 10.1108/et-10-2018-0219;; 10.1108/f-06-2014-0054;; 10.1108/fs-03-2012-0011;; 10.1108/ijem-05-2013-0084;; 10.1177/1745691618767878;; 10.1177/1745691618794945;; 10.21833/ijaas.2016.11.012;; 10.21833/ijaas.2017.05.009;; 10.1007/978-3-658-17389-0_5;; 10.4018/978-1-5225-0643-0.ch002;; 10.4018/978-1-5225-2050-4.ch001;; 10.4018/978-1-5225-4952-9.ch002;; 10.4018/978-1-5225-4952-9.ch005;; 10.4018/978-1-5225-4952-9.ch006;; 10.4018/978-1-5225-7918-2.ch006;; 10.4018/978-1-60960-519-3.ch008;; 10.1007/978-3-319-18221-6_9;; 10.1080/09500693.2016.1230685;; 10.1080/10511970.2019.1629515;; 10.1080/10548408.2012.674879;; 10.1063/1.5003492;; 10.1177/10980482160201-213;; 10.1177/1098048219840784;; 10.1002/jocb.139;; 10.1002/jocb.171;; 10.1002/jocb.221;; 10.1002/jocb.344;; 10.1002/jocb.39;; 10.1002/jocb.421;; 10.1002/jocb.81;; 10.1007/978-3-319-62968-1_41;; 10.1007/978-3-319-69650-8_5;; 10.1108/jhtt-10-2014-0063;; 10.1108/jkm-04-2013-0136;; 10.1177/0734282911428196;; 10.1177/0735633118770800;; 10.4324/9780203888841.ch21;; 10.1007/978-3-662-43454-3_33;; 10.1007/978-3-662-44214-2_15;; 10.5367/ihe.2014.0228;; 10.5465/amle.2010.0003;; 10.1007/s12564-015-9378-5;; 10.13106/jafeb.2019.vol6.no2.123;; 10.1177/097226291101500205;; 10.1177/1052562918786992;; 10.1177/105678791202100405;; 10.1145/2757226.2764556;; 10.1145/3050385.3050389;; 10.1145/3159450.3159471;; 10.17507/jltr.0605.18;; 10.17679/inuefd.481895;; 10.17759/sps.2018090108;; 10.1002/j.2162-6057.2010.tb01328.x;; 10.1002/j.2162-6057.2010.tb01335.x;; 10.1007/978-3-319-71058-7_55-1;; 10.1007/978-3-319-72381-5_3;; 10.1142/s1363919616400016;; 10.1080/10400410802633533;; 10.1080/10400410903579494;; 10.1080/10400410903579635;; 10.1080/10400419.2011.545734;; 10.1080/10400419.2011.545750;; 10.1080/10400419.2012.730003;; 10.1080/10400419.2013.752235;; 10.1080/10400419.2013.752287;; 10.1080/10400419.2014.901068;; 10.1080/10400419.2016.1125248;; 10.1080/10400419.2016.1125270;; 10.1080/10400419.2016.1162543;; 10.1080/10400419.2016.1195616,316
"A biblical view of eating and nutrition in contrast to that in Graeco-Roman writings: restraint, respect, purpose, and order",10.1080/13537121.2019.1645965,08/08/2019,Kalman J Kaplan; Matthew B Schwartz; Moriah Markus-Kaplan,2967758359,08/08/2019,11/08/2019,,0
Reconstructing disasters and adaptation scenario of nineteenth-century Kashmir,10.1111/disa.12364,06/24/2019,Bashir Ahmad; Akhtar Alam; M Sultan Bhat; Kurshid A Bhat,2955029472,06/24/2019,11/06/2019,,0
The victorious counterrevolution: the nationalist effort in the Spanish Civil War,10.1080/14608944.2018.1563986,02/14/2019,Pedro Garcia-Guirao,2913626875,02/14/2019,11/05/2019,,0
"Book Review: Industrial Sexuality: Gender, Urbanization, and Social Transformation in Egypt by Hanan Hammad",10.1177/0891243219846501,05/01/2019,Eli R Wilson,2943032310,05/01/2019,10/16/2019,,0
A Nation Within a Nation: Organizing African-American Communities before the Civil War,10.1080/14664658.2012.746274,12/13/2012,Stephen Robinson,2983369435,12/13/2012,10/15/2019,,0
The identity of Catholic schools as seen by teachers in Catholic schools in Queensland,10.1080/19422539.2018.1418946,02/23/2018,Jim Gleeson; John O’Gorman; Maureen O’Neill,2788985155,02/23/2018,09/30/2019,,0
Rationality as a condition for intercultural understanding,10.5169/seals-791151,01/01/2001,Peter Johannes Schulz,,01/01/2001,09/10/2019,,0
The Crisis of Zionism. By Peter Beinart,10.1093/jcs/cst044,06/27/2013,James L Gelvin,1951697714,06/27/2013,09/01/2019,,0
The Negative Association between Religiousness and Children's Altruism across the World,10.1016/j.cub.2015.09.056,11/05/2015,Jean Decety; Jason M Cowell; Kang Lee; Randa Mahasneh; Susan Malcolm-Smith,1925740804,11/05/2015,08/05/2019,10.1111/bjdp.12156;; 10.1080/15570274.2018.1469824;; 10.1007/s11153-016-9603-0;; 10.1093/scan/nsz016;; 10.1007/s10943-019-00900-z;; 10.1007/s41603-017-0024-3;; 10.1002/9781119119302.biblio;; 10.1002/9781119119302.ch27;; 10.1111/jcpp.12705;; 10.1371/journal.pone.0197755;; 10.1371/journal.pone.0199311;; 10.3389/fpsyg.2016.01149;; 10.1111/desc.12466;; 10.1111/desc.12590;; 10.1007/978-3-319-57063-1_6;; 10.3390/ijerph16091485;; 10.1111/sode.12198;; 10.1371/journal.pone.0213582;; 10.1007/s10551-018-3937-8;; 10.1080/00344087.2018.1529468;; 10.1007/978-3-319-16999-6_1702-1;; 10.1007/978-3-319-16999-6_1702-2;; 10.1007/978-3-319-64428-8_3;; 10.33929/sherm.2019.vol1.no1.06;; 10.1098/rsos.190991;; 10.1177/1069397117733450;; 10.1017/thg.2018.71;; 10.3390/rel10010037;; 10.1080/17470919.2016.1257437;; 10.5812/ijhrba.95072;; 10.1080/2153599x.2019.1678518;; 10.1108/ejm-02-2018-0134;; 10.1007/978-3-030-17234-3_7;; 10.1080/01416200.2020.1740168,34
The Open Mind: A Phenomenology,10.4236/ojpp.2017.72009,05/01/2017,Josh Adler,2620114054,05/01/2017,06/28/2019,,0
Trinitarian Roots of Francis Bacon's Pragmatism,10.1111/heyj.12493,02/08/2017,Aderemi Artis,2917705871,02/08/2017,06/11/2019,,0
Cloning the War on Terror,10.1080/09502386.2012.658076,02/15/2012,Harry J Weil,3094513537;;2021192615;;3093769839,02/15/2012,06/04/2019,,0
A Daily Dose of Humanities,10.4300/JGME-D-17-00910.1,06/01/2018,Darryl Potyk; Judy Swanson; Judy Benson,2809389314,06/01/2018,06/01/2019,10.4300/jgme-d-19-00265.1,1
The World Come of Age: An Intellectual History of Liberation Theology,10.1093/jaarel/lfz020,04/25/2019,Kyle B T Lambelet,2946596990,04/25/2019,06/01/2019,,0
A check-up on Canada's health system,10.1016/S0140-6736(17)32871-4,11/25/2017,Kishor M Wasan; Ellen K Wasan; Jawahar Kalra,2769976360,11/25/2017,05/25/2019,,0
Effects of Therapy on Religious Men Who Have Unwanted Same-Sex Attraction,10.1177/0024363918788559,07/23/2018,Paul L Santero; Neil E Whitehead; Dolores Ballesreros,2884437389,07/23/2018,05/23/2019,,0
From courtyard sport to competitive sport: evolution of wrestling in colonial Bengal,10.1080/17430437.2014.919258,05/22/2014,Amitava Chatterjee,2042822756,05/22/2014,05/09/2019,10.1080/03323315.2017.1327366;; 10.1123/ssj.2017-0088,2
A Discourse Analysis of German Fairy Tale 'Rapunzel' Written by the Brothers Grimm,10.30605/ethicallingua.v5i2.1037,08/09/2018,Andi Tenrisanna Syam,2891871375,08/09/2018,05/03/2019,,0
"Antonioni and Bergman, or night and light",10.1177/0047244118818995,01/15/2019,Robert James Cardullo,2909323434,01/15/2019,04/10/2019,,0
A Study on Viewing Act Under the Influence of Viewer's Density And Scale of Basic Exhibition Tanks,10.3130/aija.62.95_1,02/02/2017,Yukio Tsuboyama; Shinji Satoh; Yoshio Kobayashi,153117858,02/02/2017,03/30/2019,,0
Preconception Care through Religious Leaders in Bangladesh – A Novel Approach,10.3329/dmcj.v6i2.38212,09/14/2018,Samsad Jahan; Shahana Shermin,2898786688,09/14/2018,03/18/2019,,0
A brief history of human evolution: challenging Darwin’s claim,10.1186/s41257-018-0014-2,10/29/2018,Sarah Umer,2899430158,10/29/2018,02/19/2019,10.1186/s41257-019-0017-7,1
The American Marshall plan film campaign and the Europeans: a captivated audience,10.1080/14782804.2018.1541673,11/16/2018,Stuart Parkes,2891682912,11/16/2018,01/28/2019,,0
"Administrative Duplicate Publication The effects of windblown sand on the deterioration of mural paintings in cave 285, in Mogao caves, Dunhuang",10.1177/1744259118773387,05/30/2018,Akane Mikayama; Shuichi Hokoi; Daisuke Ogura; Ken Okada; Bomin Su,2907997989,05/30/2018,01/15/2019,,0
Religion and mental health,10.4103/0019-5545.105526,01/07/2013,Prakash B Behere; Anweshak Das; Richa Yadav; Aniruddh P Behere,2075796680,01/07/2013,01/15/2019,10.1080/13674676.2016.1166194;; 10.1080/13674676.2018.1428793;; 10.1080/13674676.2018.1504905;; 10.1080/13674676.2018.1517254;; 10.1080/13674676.2019.1628194;; 10.1080/13674676.2019.1636368;; 10.1080/15528030.2019.1670771;; 10.1186/s12955-019-1218-6;; 10.1177/0037768618768438;; 10.1007/s10943-017-0360-x;; 10.1007/s10943-017-0551-5;; 10.1007/s10943-018-0710-3;; 10.1007/s10943-019-00875-x;; 10.1371/journal.pone.0128800;; 10.1590/0103-1104201611012;; 10.1186/s12889-015-1478-y;; 10.1186/s12889-019-6732-2;; 10.1097/cnj.0000000000000546;; 10.1163/15736121-12341342;; 10.18863/pgy.391783;; 10.3390/rel9010003;; 10.3390/rel9110357;; 10.1080/07448481.2019.1710516;; 10.1177/1178223420903054;; 10.3390/ijerph16214287;; 10.3390/su12072918;; 10.1080/00207411.2020.1781426;; 10.1111/pcn.13087;; 10.1080/15528030.2020.1827480,29
The princess of polka dots: Using art as a medium to cope with hallucinations,10.4103/psychiatry.IndianJPsychiatry_149_18,01/18/2018,K V Suma; Suhas Chandran; T S Sathyanarayana,2797614968,01/18/2018,01/09/2019,,0
Photophysics of artist’s pigments,10.1016/j.measurement.2018.03.082,04/03/2018,Gianluca Accorsi; Giovanni Verri; Angela Acocella; David Saunders; Charlotte Martin de Fonjaudran; Diego Tamburini; Amarilli Rava; Samuel Whittaker; Francesco Zerbetto,2795792604,04/03/2018,12/28/2018,,0
Can we prove the existence of God using quantitative biology,10.31219/osf.io/q9xzj,10/04/2018,Tidjani Locatelli,,10/04/2018,12/21/2018,,0
Application of Maqasid Al-Shari'ah in evaluating Fiqh Jihad of religious extremism,10.4314/jfas.v10i6s.186,05/01/2018,M I Abd Razak; M A Ramli; R A Abdul Rahim; N H Aziz; N Anas,,05/01/2018,12/01/2018,,0
Coding and decoding stereoscopic film compression by multiwavelet transform,10.4314/jfas.v10i4s.233,03/01/2018,Nada Alramahi; Martin Bush; M Rafiq Swash,2971927248,03/01/2018,12/01/2018,,0
Development model of digital Quran based on technology Acceptance in learning performance,10.4314/jfas.v10i6s.182,05/01/2018,N Anas; M I M Ariff; Z Mohd Ghazali; Z Yaacob,2900226221,05/01/2018,12/01/2018,,0
"Haste, its types, and consequences from the perspective of quranic verses and islamic narrations",10.4314/jfas.v10i6s.137,03/07/2018,B Mehraki; A Shirazinezhad; M A Sookhaklari,,03/07/2018,12/01/2018,,0
Novel 3D stereoscopic film compression using multiwavelet,10.4314/jfas.v10i4s.234,03/01/2018,Nada Alramahi; Martin Bush; M Rafiq Swash,2808994581,03/01/2018,12/01/2018,,0
Numerically- analysed multiwavelet transform computations: multidimensional compression case studies,10.4314/jfas.v10i4s.235,03/01/2018,Nada Alramahi; Martin Bush; M Rafiq Swash,2772607157,03/01/2018,12/01/2018,,0
Ontology driven meta-modeling of service oriented architecture,10.4314/jfas.v10i4s.4,03/01/2018,Shreya Banerjee; Shruti Bajpai; Anirban Sarkar; Takaaki Goto; Narayan C Debnath,2883941790,03/01/2018,12/01/2018,,0
Prediction of success of movies using data analytics techniques,10.4314/jfas.v10i6s.143,03/07/2018,A Sakib; N N A Sjarif; K Kamardin; S M Daud,,03/07/2018,12/01/2018,,0
Realistic applications of information technology in art,10.4314/jfas.v10i5s.14,03/22/2018,Sanaa Mohsin,2936749277,03/22/2018,12/01/2018,,0
"Migration, Transnationalism and Catholicism: Global Perspectives",10.1080/14649365.2018.1519125,10/05/2018,Olivia Sheringham,2889719461,10/05/2018,11/28/2018,,0
Managing Learning for Quality Improvement of Islamic Education,10.32478/evaluasi.v2i2.169,06/01/2018,Siti Mutholingah,2891786214,06/01/2018,10/01/2018,,0
"On the stone worshipping medium pedewaq performed by Hindu worshippers and Wetu Telu muslims in Lingsar district, west Lombok Regency, Indonesia",10.4314/jfas.v10i5s.48,04/16/2018,M Suastika; T G T Nindhia; N P S Budhawati,2808263088,04/16/2018,10/01/2018,,0
"Sedimentary facies, sequence stratigraphy and diagenesis of mixed fluvial siliciclastic-marine carbonate deposits of the Lower Miocene Razak Formation at Sarkhun Gas Field, Zagros Basin, SE Iran: A linkage with reservoir quality",10.1016/j.marpetgeo.2018.02.018,02/19/2018,Hamad Amel; Hamdallah A Wanas; Arman Jafarian; A Amel; S Ghazi; M A Caja,2792650360,02/19/2018,08/07/2018,,0
Atomic resolution studies detect new biologic evidences on the Turin Shroud,10.1371/journal.pone.0180487,06/30/2017,Elvio Carlino; Liberato de Caro; Cinzia Giannini; Giulio Fanti,2726172176,06/30/2017,07/19/2018,10.1371/journal.pone.0201272;; 10.1111/arcm.12383;; 10.1111/1556-4029.13941,3
Managing and interpreting D-Day's sites of memory: guardians of remembrance,10.1080/1743873X.2017.1279389,01/19/2017,Warwick Frost,2569388077,01/19/2017,07/12/2018,,0
A look at Mayan artificial cranial deformation practices: morphological and cultural aspects,10.3171/2010.9.FOCUS10200,12/01/2010,Samuel Romero-Vargas; Jose Luis Ruiz-Sandoval; Arturo Sotomayor-Gonzalez; Rogelio Revuelta-Gutierrez; Miguel Angel Celis-Lopez; Juan Luis Gomez-Amador; Ulises Garcia-Gonzalez; Raul Lopez-Serna; Victor Garcia-Navarro; Diego Mendez-Rosito; Victor Correa-Correa; Sergio Gomez-Llata,2121461932,12/01/2010,07/01/2018,10.3171/2012.6.focus12120;; 10.3171/2014.1.focus13466;; 10.1007/s00381-011-1493-y;; 10.1177/0883073811432749;; 10.1007/978-3-319-06118-4_1;; 10.1002/ajpa.22832;; 10.1590/s1981-81222014000100002,7
Knowledge of skull base anatomy and surgical implications of human sacrifice among pre-Columbian Mesoamerican cultures,10.3171/2012.6.FOCUS12120,08/01/2012,Raul Lopez-Serna; Juan Luis Gomez-Amador; Juan Barges-Coll; Nicasio Arriada-Mendicoa; Samuel Romero-Vargas; Miguel Ramos-Peek; Miguel Angel Celis-Lopez; Rogelio Revuelta-Gutierrez; Lesly Portocarrero-Ortiz,2008540822,08/01/2012,07/01/2018,10.1007/s12565-017-0399-5,1
Organic Democracy: Political Participation and Representation in Franco’s Spain,10.5944/etfv.27.2015.15751,12/09/2015,Miguel Angel Gimenez Martínez,2246723549,12/09/2015,03/21/2018,,0
David Eduardo TAVAREZ (Ed.). Words and Worlds Turned Around: Indigenous Christianities in Colonial Latin America.,10.1007/s41603-018-0040-y,03/13/2018,Marcos Verdugo,2793372463,03/13/2018,03/13/2018,,0
The democratic turn in the secularism-religion debate,10.3989/isegoria.2017.057.08,01/07/2017,Diego Bermejo,2769942240;;2966504570;;2902232863,01/07/2017,01/08/2018,,0
Brittany 1750 - 1950 The Invisible Nation and Brittany A Concise History,10.1093/fh/crn067,10/24/2008,Alison Carrol,,10/24/2008,11/28/2017,,0
Fundamentals of Electronic Resources Management,10.1016/j.acalib.2017.09.010,10/31/2017,Madeline Kelly,,10/31/2017,11/01/2017,,0
The Study on Simulating Binaural Room Impulse Response,10.1109/ICCSIT.2010.5564505,07/09/2010,Tian-Kui Guo; Yue-Zhe Zhao,2278152431,07/09/2010,09/07/2017,10.1109/icalip.2014.7009911,1
Wassily Kandinsky’s The Yellow Sound as a total work of art,10.1007/s11059-017-0384-y,04/04/2017,Robert James Cardullo,2604343897,04/04/2017,09/07/2017,,0
Case Study of Carbon Emissions from a Building’s Life Cycle Based on BIM and Ecotect,10.1155/2015/954651,06/14/2015,Changhai Peng; Xiao Wu,2125545750,06/14/2015,04/05/2017,10.1155/2016/8513293;; 10.1155/2017/2193505;; 10.1007/978-3-030-10856-4_10;; 10.1098/rsos.170174;; 10.3846/jcem.2019.11056;; 10.36680/j.itcon.2020.001,6
"Strategic Bombing, Causal Beliefs, and Double Effect",10.1007/s10790-015-9518-5,09/10/2015,Ezio Di Nucci,1923324694,09/10/2015,03/21/2017,,0
"The Witness Set Constraint: Determiners, conservativity, witnesses",10.1093/jos/ffw009,07/27/2016,Jordi Fortuny,2482243249,07/27/2016,03/05/2017,,0
The Cuban Revolution and historiography,10.3989/aeamer.2008.v65.i1.106,01/01/2008,Jose Maria Aguilera Manzano,2077185449,01/01/2008,02/06/2017,,0
Ceramics at the Emergence of the Silk Road: A Case from Southeastern Kazakhstan,10.1557/opl.2014.430,05/09/2014,Maryfran Heinsch; Pamela B Vandiver; Kyra Lyublyanovics; Alice M Choyke; Perry Tourtellotte; Claudia Chang,2315104695,05/09/2014,01/01/2017,10.1557/opl.2017.3,1
Country Land Building Intensity Contrast of Binzhou City Based on RS and GIS,10.2174/1874149501509010923,10/29/2015,Jianlin Wang; Yinsheng Yang; Lei Wang,1946574614,10/29/2015,12/29/2016,10.2174/1874149501610010883,1
Blasts from the Past: War and Fracture in the International System,10.1093/ips/olw019,11/11/2016,Jens Bartelson,2564173654,11/11/2016,12/01/2016,10.1177/0967010618795787,1
A systematic review on post-implementation evaluation models of enterprise architecture artefacts,10.1007/s10796-016-9716-0,11/12/2016,Fatemah Nikpay; Rodina Ahmad; Babak Darvish Rouhani; Shahaboddin Shamshirband,2551198085,11/12/2016,11/12/2016,10.1007/978-3-030-20618-5_14,1
Thou shalt not suffer a witch to live (Exod 22:18) and contemporary Akan Christian belief and practice: A translational and hermeneutical problem,10.17159/2312-3621/2016/v29n1a3,01/01/2016,Yaw Adu-Gyamfi,2345962877,01/01/2016,11/07/2016,,0
The Voluntary Nature of Ethical-Moral Behavior in the 21st Century (or in Any Other): A Personal Perspective,10.4172/2155-9627.1000286,10/01/2016,Thomas Spears,2550892115,10/01/2016,11/06/2016,,0
Historical Perspective on Public Support for the Draft: War Costs and Military Service,10.1093/jogss/ogw014,08/26/2016,Benjamin O Fordham,2516626020,08/26/2016,10/05/2016,10.1007/978-3-319-30534-9_17-1;; 10.1007/978-3-319-54484-7_17,2
"Computational fluid dynamics, a building simulation tool for achieving sustainable buildings",10.1016/j.rser.2015.12.198,05/01/2016,Yatheshth Anand; Ankush Gupta; Satish K Tyagi; Sanjeev Anand,2225282979,05/01/2016,10/01/2016,10.3390/s19051119,1
Culture as Constitutive: An Exploration of Audience and Journalist Perceptions of Journalism in Samoa,10.1111/cccr.12076,10/09/2014,Linda Jean Kenix,2941524414,10/09/2014,09/07/2016,10.1080/23743670.2017.1292703;; 10.1111/cccr.12158,2
Social mobility in the early middle ages,10.1016/j.eeh.2016.08.001,08/24/2016,Nicholas J Meinzer,2516564787,08/24/2016,08/24/2016,,0
The spiritual reform of Saint Teresa of Jesus and her relationship with the courtly factions of the Spanish monarchy,10.3989/hs.2015.013,07/01/2015,Jose Martinez Millan,2257537338,07/01/2015,07/19/2016,,0
Output and workforce in the Jesuit haciendas of colonial Buenos Aires: La Chacarita and Las Conchas in the eighteenth century,10.3989/aeamer.2012.2.09,07/01/2012,Sandra Fabiana Olivero Guidobono,2060076036,07/01/2012,06/14/2016,,0
Role of Methodology in Action Research,10.1111/1467-9752.12181,03/20/2016,Kubilay Kaptan,2302544899,03/20/2016,03/20/2016,10.1111/theo.12268,1
