citing_doi,citing_title,citing_author,citing_publication_year,cited_doi,cited_publication_year,cited_retraction_year
10.1017/9781316691649,The Psychologist'S Companion For Undergraduates,"Sternberg, Robert J.; Sternberg, Karin",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.001,Preface,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.002,Introduction,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.003,Getting Started,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.004,Eight Common Misconceptions About Psychology Papers,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.005,"How To Generate, Evaluate, And Present Your Ideas For Research And Papers",,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.006,Literature Research,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.007,Writing A Literature Review,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.008,Planning And Writing The Experimental Research Paper,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.009,Ethics In Research And Writing,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.010,"A Word About Content, Language, And Style",,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.011,Commonly Misused Words,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.012,American Psychological Association Guidelines For Psychology Papers,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.013,Guidelines For Data Presentation,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.014,Paper Writing 101,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.015,"How To Make Your Paper Even Better: Proofreading, Revising, And Editing",,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.016,Preparing A Poster Presentation,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.017,Writing A Talk,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1017/9781316691649.018,Epilogue,,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-642-21678-7_13,Kreativität In It-Forschungsprojekten – Charakterisierung Und Resultierende Handlungsanweisungen Für Das Projektmanagement,"Brocke, Jan Vom; Lippe, Sonia",2011,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3846/20294913.2015.1056279,Combination Of Fuzzy-Ahp And Dematel-Anp With Gis In A New Hybrid Mcdm Model Used For The Selection Of The Best Space For Leisure In A Blighted Urban Site,"Pourahmad, Ahmad; Hosseini, Ali; Banaitis, Audrius; Nasiri, Hossein; BanaitienÄ—, Nerija; Tzeng, Gwo-Hshiung",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3846/23450479.2016.1223765,Social Creativity And Phenomenon Of Success In Postindustrial Society,"Stoletov, Anatoliy",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3846/cs.2018.271,How Can University Learning Environment Contribute To Students’ Creativity? Lithuanian Students’ Perspective,"Burkšaitienė, Nijolė",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3846/cs.2019.4313,"Creativity Trilateral Dynamics: Playfulness, Mindfulness, And Improvisation","Hassan, Doaa Kamaleldin",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3846/cs.2019.9141,Artistâ€™S Creative Contributions In The Context Of Interdisciplinary Research,"Paek, Kyong-Mi",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/10137548.2008.9687883,"Creativity, Emotional Intelligence And Emotional Creativity In Student Actors: A Pilot Study","Munro, Marth; Pretorius, Mariana; Munro, Allan",2008,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0098628318796924,Conflicts And Consistencies In Creativity Research And Teaching,"Wieth, Mareike B.; Francis, Andrea P.",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1002/acp.2857,On The Cognitive Benefits Of Cultural Experience: Exploring The Relationship Between Studying Abroad And Creative Thinking,"Lee, Christine S.; Therriault, David J.; Linderholm, Tracy",2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-99163-4_17,The Dynamic Universal Creativity Process,"Corazza, Giovanni Emanuele",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-99163-4_6,Exploration As A Dynamic Strategy Of Research-Education For Creativity In Schools,"Guerra, Monica; Villa, Federica Valeria",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1524/9783486716825.bm,,,2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.17002/sil..40.201607.77,Reconsideration Of Creativity:Construct In Language Teaching,Hyun-Ju Kim,2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.2752/175693810x12774625387477,"Technology, Tradition, And Creativity In Apparel Designers: A Study Of Designers In Three Us Companies","Bye, Elizabeth; Sohn, Myunghee",2010,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.2753/imo0020-8825440402,Profiting From Creative Performance And Business Models Over Time,"Guercini, Simone",2014,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1590/s1413-85572008000100008,Criatividade Escolar: Relação Entre Tempo De Experiência Docente E Tipo De Escola,"Castro, Júlia Soares Rosa De; Fleith, Denise De Souza",2008,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s11818-015-0039-z,KreativitÃ¤t Und Schlaf,"Marisch, Cynthia; Genzel, Lisa; Steiger, Axel; Dresler, Martin",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s11858-012-0467-1,Connecting Mathematical Creativity To Mathematical Ability,"Kattou, Maria; Kontoyianni, Katerina; Pitta-Pantazi, Demetra; Christou, Constantinos",2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/17543266.2013.835875,Family Environment And Creativity In Fashion Design Students,"Robinson, Joyce Robin; Freeburg, Beth Winfrey; Workman, Jane",2013,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/17543266.2015.1018958,Conceptual Model And Strategies For Creative Thinking In Apparel Design,"Black, Catherine; Freeman, Charles; Stumpo, Gordon",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/17543266.2018.1516807,Creativity And Tolerance Of Ambiguity In Fashion Design Students,"Robinson, Joyce R.; Workman, Jane E.; Freeburg, Beth Winfrey",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/17543266.2010.542185,Putting The Puzzle Together: Apparel Professionals' Perspectives On Creativity,"Karpova, Elena; Marcketti, Sara; Barker, Jessica",2011,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-14017-9_7,Development Of Studies In Creativity,"Chan, Chiu-Shui",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1145/2671470.2671472,It Support For Architectural Creativity Based On Ecological Constraints,"Gregori, Nicolas",2014,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1109/hicss.2012.13,Idea Generation In Virtual Communities For Innovation: The Influence Of Participants' Motivation On Idea Quality,"Bretschneider, Ulrich; Rajagopalan, Balaji; Leimeister, Jan Marco",2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1109/icdmw.2013.28,Frame As A Clue To Intention Of Data: Toward New Product Ideas With Framed Components,"Nakamura, Jun; Teramoto, Masahiko",2013,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1109/tale.2014.7062638,Building Technology Creativity Inspiration Model In Mechanical Engineering Field,"Huang, Wen-Chen; Yuan, Yu-Hsi; Wu, Ming-Hsiung",2014,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1109/iemc.2007.5235024,Innovation By Integration: The Story Of The Hybrid Aircraft,"Jullens, Clinton A.",2007,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1109/compsac.2018.10215,"An Approach To Proposing New Business Models Basing On Association Rule Learning, Bp Neural Network And Creative Computing","Liu, Qinyun; Zou, Lin; Zhou, Hua; Yang, Hongji",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1109/culturecomputing.2013.25,Evolving Creativity: An Analysis Of The Creative Method In Elbulli Restaurant,"Suarez, Juan Luis; Caparrini, Fernando Sancho",2013,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-94794-5_7,Imuscica: Interactive Music Science Collaborative Activities For Steam Learning,"Katsouros, Vassilis; Fotinea, Evita; Frans, Renaat; Andreotti, Erica; Stergiopoulos, Petros; Chaniotakis, Manolis; Fischer, Thomas; Piechaud, Robert; Karpati, Zoltan; Laborde, Pierre; Martín-Albo, Daniel; Simistira, Fotini; Liwicki, Marcus",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-21924-0_17,Children’S And Teachers’ Conceptions Of Creativity: Contradictions And Implications In Classroom Instruction,"Hong, Eunsook; Part, Rachel; Rowell, Lonnie",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-21924-0_7,Purposeful Fulfillment Of Creative Potential,"Tinio, Pablo P. L.; Barbot, Baptiste",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-22041-3_4,Virtual Worlds Supporting Collaborative Creativity,"Alahuhta, Pekka; Sivunen, Anu; Surakka, Teemu",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/bjet.12629,Crec: The Role Of Serious Games In Improving Flexibility In Thinking In Neuropsychological Rehabilitation,"Colautti, Laura; Baldassini, Davide; Colombo, Vera; Mottura, Stefano; Sacco, Marco; Sozzi, Matteo; Corbo, Massimo; Rusconi, Maria Luisa; Antonietti, Alessandro",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/1359432x.2015.1029046,The Role Of Intuition In Entrepreneurship And Business Venturing Decisions,"Sadler-Smith, Eugene",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-981-10-7524-7_2,Interdisciplinary Research As A Creative Design Process,"Szostak, Rick",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-981-10-7524-7_4,"Creativity, Design, And Transdisciplinarity","Klein, Julie Thompson",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-981-10-7524-7_7,The Multivariate Approach And Design Of The Creative Process,"Nelson, Julien; Botella, Marion",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/21622965.2015.1119692,Neurocognitive Mechanisms Of Mathematical Giftedness: A Literature Review,"Zhang, Li; Gan, John Q.; Wang, Haixian",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/j.1465-3435.2010.01431.x,Monitoring Creativity At An Aggregate Level: A Proposal For Europe,"Villalba, Ernesto",2010,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-0-85729-224-7_25,"Thinking Inside The Box: Model, Tool, Team And Setting For Building Design","Zeiler, Wim",2011,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/1847979019849135,Creativity Of Small Firms In Creative Industry: Initial Evidence From Indonesia,"Indriartiningtias, Retno, 0000-0003-4896-9243; Subagyo; Hartono, Budi, 0000-0003-4128-409X",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/1938965512471892,Website Evaluation Of The Top 100 Hotels Using Advanced Content Analysis And Emica Model,"Ting, Ping-Ho; Wang, Shu-Tai; Bau, Dong-Yih; Chiang, Miao-Ling",2013,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3390/su8111193,"Perception Of Time, Creative Attitudes, And Adoption Of Innovations: A Cross-Cultural Study From Chinese And Us College Students","Lee, Seung-Hee; Workman, Jane; Jung, Kwangho, 0000-0001-7724-8520",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3390/su9111979,"Fashion Trendsetting, Creative Traits And Behaviors, And Pro-Environmental Behaviors: Comparing Korean And U.S. College Students","Workman, Jane; Lee, Seung-Hee; Jung, Kwangho, 0000-0001-7724-8520",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1057/9781137511805_17,Rules,"Juelsbo, Tue",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/14790726.2018.1520894,Development Of A Rubric For Evaluating Creative Writing: A Multi-Phase Research,"Vaezi, Maryam; Rezaei, Saeed, 0000-0003-0296-0382",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.4018/ij3dim.2013010101,Creativity With Building Information Modelling Tools,"Ahmad, A.M.; Demian, P.; Price, A.D.F.",2013,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.4018/jsita.2011070101,Creativity Enhancement,"Mcnair, Monty; Howard, Caroline; Guzman, Indira; Watkin, Paul",2011,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-1-4614-7753-2_126,Creativity,"BarrÃ¨re, Christian",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-1-4614-7883-6_126-1,Creativity,"BarrÃ¨re, Christian",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/j.1475-5661.2010.00390.x,Recovering Inspiration In The Spaces Of Creative Writing,"Brace, Catherine; Johns-Putra, Adeline",2010,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/ejed.12270,"The Potentials Of Game-Based Environments For Integrated, Immersive Learning Data","Groff, Jennifer S.",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3389/fpsyg.2014.00761,Frontal Lobe Neurology And The Creative Mind,"De Souza, Leonardo C.; Guimarã£Es, Henrique C.; Teixeira, Antã´Nio L.; Caramelli, Paulo; Levy, Richard; Dubois, Bruno; Volle, Emmanuelle",2014,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1101/184754,A Neuroeconomic Framework For Creative Cognition,"Lin, Hause; Vartanian, Oshin",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1088/1742-6596/1114/1/012027,Rash Model Analysis Of Kaufman Domains Of Creativity Scale (K-Docs) To Indonesian Students,"Susanto, Eko; Novitasari, Yuni; Ahman; Nurhudaya; Rakhmat, Cece; Hidayat, Ade; Wibowo, Satrio Budi",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1088/1742-6596/1286/1/012055,Polyphonic Ste(A)M And The Role Of Physics,"Frans, R; Andreotti, E",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1088/1742-6596/947/1/012023,The Creativity Of Reflective And Impulsive Selected Students In Solving Geometric Problems,"Shoimah, R N; Lukito, A; Siswono, T Y E",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/pirs.12180,"Creativity, Education Or What? On The Measurement Of Regional Human Capital","Bode, Eckhardt; Perez Villar, Lucia",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-981-287-618-8_1,On The Path Towards The Science Of Creative Thinking,"Corazza, Giovanni Emanuele; Agnoli, Sergio",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0149206314546196,The Role Of Research Strategies And Professional Networks In Management Scholarsâ€™ Productivity,"Seibert, Scott E.; Kacmar, K. Michele; Kraimer, Maria L.; Downes, Patrick E.; Noble, David",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0149206317741963,Unveiling The Microfoundations Of Absorptive Capacity: A Study Of Colemanâ€™S Bathtub Model,"Distel, Andreas P.",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0149206318788435,Scientific Contributions Of Within-Person Research In Management: Making The Juice Worth The Squeeze,"Mccormick, Brian W.; Reeves, Cody J.; Downes, Patrick E., 0000-0002-8944-020X; Li, Ning; Ilies, Remus",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0162353211417221,Diverse Perspectives Of Creativity Testing,"Lemons, Gay",2011,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.24106/kefdergi.368886,Yaratıcı Öğrenme Ortamı Değerlendirme Ölçeği Geliştirme: Açımlayıcı Ve Doğrulayıcı Faktör Analizi,"Kılıç, Figen; Yavuz Konokman, Gamze; Yanpar Yelken, Tuğba",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s10606-017-9280-2,What If It Switched On The Sun? Exploring Creativity In A Brainstorming Session With Children Through A Vygotskyan Perspective,"Kinnula, Marianne, 0000-0002-1582-8869; Molin-Juustila, Tonja; Sánchez Milara, Iván; Cortes, Marta; Riekki, Jukka",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s10643-012-0532-y,Developing Second Gradersâ€™ Creativity Through Literacy-Science Integrated Lessons On Lifecycles,"Webb, Angela Naomi; Rule, Audrey C.",2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1371/journal.pone.0150421,Education Influences Creativity In Dyslexic And Non-Dyslexic Children And Teenagers,"Kapoula, ZoÃ¯; Ruiz, Sarah; Spector, Lisa; Mocorovi, Marion; Gaertner, Chrystal; Quilici, Catherine; Vernet, Marine",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.20972/kjee.28..201705.107,Creative Education Practicums With Creative Science Teaching: The Case Of Creative Education Leaders Club,맹승호,2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.32609/0042-8736-2018-9-70-94,Innovations And Culture: Importance Of The Analysis Methodology,"Tambovtsev, V. L.",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0255761415607081,Recognizing Creativity In The Music Classroom,"Kokotsaki, Dimitra; Newton, Douglas P.",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/2158244015601719,In Need Of Creative Mobile Service Ideas? Forget Adults And Ask Young Children,"Kuzmickaja, Ilona; Wang, Xiaofeng; Graziotin, Daniel; Dodero, Gabriella; Abrahamsson, Pekka",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/2158244015611448,Culture And Creativity,"Dishke Hondzel, Catharine; Sørebø Gulliksen, Marte",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/2158244019835919,"Implicit Theories, Working Memory, And Cognitive Load: Impacts On Creative Thinking","Redifer, Jenni L., 0000-0002-9338-6381; Bae, Christine L.; Debusk-Lane, Morgan",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1002/9781119945000.ch20,Dyslexia And Creativity,"Kiziewicz, Morag",2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s12045-019-0810-8,Nurturing Scientific Creativity In Science Classroom,"Gupta, Priya; Sharma, Yukti",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s12124-017-9406-6,Concerted Creativity: Emergence In The Socio-(Im)Material And Intangible Practice Of Making Music,"Hvidtfeldt, Dan Lund",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1002/tesq.211,Creativity And Efl Studentsâ€™ Language Use During A Group Problem-Solving Task,"Mcdonough, Kim; Crawford, William J.; Mackey, Alison",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1515/quageo-2015-0015,Nostalgic Sentiment And Cultural And Creative Industries In Regional Development: A Slovak Case Study,"Borseková, Kamila; Cole, David; Petríková, Katarína; Vaňová, Anna",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0305735618805837,Achievement Goal Motivation And Cognitive Strategies As Predictors Of Musical Creativity Among Secondary School Music Students,"Mawang, Lucy L., 0000-0001-5728-7469; Kigen, Edward M.; Mutweleli, Samuel M.",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/13562517.2017.1379487,Creative Teaching In Stem,"Pollard, Vikki; Hains-Wesson, Rachael; Young, Karen",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1002/ciuz.201700755,KreativitÃ¤t Und Chemie?,"Bliersbach, Markus; Reiners, Christiane S.",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/23311908.2018.1493806,"Association, Prediction, And Engram Cells In Creative Thinking","Yang, Dingcheng, 0000-0002-7094-8564; Li, Bin, 0000-0002-1051-801X; Walla, Peter",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/jtsb.12069,On Units Of Analysis And Creativity Theory: Towards A “Molecular” Perspective,"Glăveanu, Vlad Petre",2014,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/15332276.2018.1547620,Creative Ideation And Motivated Strategies For Learning Of Academically Talented Students In Greek Secondary School,"Zbainos, Dimitrios; Beloyianni, Vassiliki",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/jcal.12057,Development Of Children'S Creativity And Manual Skills Within Digital Game-Based Learning Environment,"Hsiao, H-S.; Chang, C-S.; Lin, C-Y.; Hu, P-M.",2014,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s11628-009-0083-5,Making E-Government Attractive,"Willoughby, Michael; Gómez, Hermenegildo Gil; Lozano, M. Ángeles Fernández",2009,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.4018/978-1-4666-4703-9.ch004,"Creativity, Intuition, Insight, And Imagination",,2014,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.4018/978-1-4666-6591-0.ch009,Individual Differences And Educational Leadership,"Kanape-Willingshofer, Anna; Bergner, Sabine",,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.4018/978-1-4666-8403-4.ch026,"Creativity, Digitality, And Teacher Professional Development","Mishra, Punya; Henriksen, Danah; Mehta, Rohit",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3389/fpsyg.2018.01315,Eye-Closure Enhances Creative Performance On Divergent And Convergent Creativity Tasks,"Ritter, Simone M.; Abbing, Jens; Van Schie, Hein T.",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3389/fpsyg.2019.00105,The Mediating Role Of Cognitive Flexibility In The Influence Of Counter-Stereotypes On Creativity,"Zuo, Bin; Wen, Fangfang; Wang, Miao; Wang, Yang",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.3389/fpsyg.2019.00381,Is Classroom Noise Always Bad For Children? The Contribution Of Age And Selective Attention To Creative Performance In Noise,"MassonniÃ©, Jessica; Rogers, Cathy Jane; Mareschal, Denis; Kirkham, Natasha Z.",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-97085-1_15,"How Can We Teach Educational Robotics To Foster 21St Learning Skills Through Pbl, Arduino And S4A?","Sierra Rativa, Alexandra",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0002764293037001003,Introduction,"Bleedorn, Berenice D.",1993,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1002/sd.540,Creativity And Organizational Learning As Means To Foster Sustainability,"Lozano, Rodrigo",2011,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/15401383.2019.1581116,Using Photovoice As A Counselor Education Pedagogical Tool: A Pilot,"Zeglin, Robert J.; Niemela, Danielle R. M.; Rosenblatt, Kara; Hernandez-Garcia, Jacqueline",2019,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/15427609.2018.1489097,Serendipity As An Example For A New Four-Tiered Model Of The Study Of Intentional Self-Regulation,"Napolitano, Christopher M., 0000-0001-8626-2914",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0887302x15579990,Creativity And Sustainable Fashion Apparel Consumption,"Ruppert-Stroescu, Mary; Lehew, Melody L. A.; Connell, Kim Y. Hiller; Armstrong, Cosette M.",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1111/dsji.12073,Using Social Constructivist Pedagogy To Implement Liberal Learning In Business Education,"Chandler, Jennifer D.; Teckchandani, Atul",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-3-319-59545-0_10,Connecting The Threads,"Henriksen, Danah",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s13132-016-0420-6,Knowledge-Based Network: The Key Is The Solution Of Dilemmas,"Munier, Francis",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s11528-013-0685-6,A New Approach To Defining And Measuring Creativity: Rethinking Technology & Creativity In The 21St Century,"Mishra, Punya; Henriksen, Danah",2013,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s11528-013-0714-5,Revisited And Remixed: Creative Variations And Twisting Knobs,"Mishra, Punya; Henriksen, Danah",2013,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/s11528-016-0151-3,Between Structure And Improvisation: A Conversation On Creativity As A Social And Collaborative Behavior With Dr. Keith Sawyer,"Henriksen, Danah; Mishra, Punya",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0022022116680479,Novelty And Usefulness Trade-Off: Cultural Cognitive Differences And Creative Idea Evaluation,"Mccarthy, Marina; Chen, Chao C.; Mcnamee, Robert C.",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1007/978-1-4614-5749-7_10,Towards The “Digital Creativity Of Action”,"Swirski, Teresa",2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/003172171209400203,Learning 21St-Century Skills Requires 21St-Century Teaching,"Saavedra, Anna Rosefsky; Opfer, V. Darleen",2012,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1177/0033294116646021,Psychometric Properties Of Creative Self-Efficacy Inventory Among Distinguished Students In Saudi Arabian Universities,"Alotaibi, Khaled N.",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/04419057.2009.9674603,Generic Skills Promotion And The Influence Of Participation Of The Life-Wide Learning Model: 2008 Camp Adventure Youth Services Program In Hong Kong,"Chow, Gary Chi Ching; Chin, Ming Kai; Mok, Magdalena Mo Ching; Edginton, Christopher R.; Li, Xiao Ying; Wong, Winnie Wing Sze; Tang, Mei Sin",2009,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1002/job.1943,"Rewards And Employee Creative Performance: Moderating Effects Of Creative Self-Efficacy, Reward Importance, And Locus Of Control","Malik, Muhammad Abdur Rahman; Butt, Arif N.; Choi, Jin Nam",2014,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1080/07256868.2017.1291495,"Can Intercultural Experiences Foster Creativity? The Relevance, Theory And Evidence","Dunne, CiarÃ¡n",2017,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1002/9781118956588.ch22,Assessing And Supporting Hard-To-Measure Constructs In Video Games,"Shute, Valerie; Wang, Lubin",2016,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1590/0102.3772e3435,Uso Da Tecnologia Na Prática Pedagógica: Influência Na Criatividade E Motivação De Alunos Do Ensino Fundamental,"Borges, Clarissa Nogueira; Fleith, Denise De Souza",2018,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
10.1590/1807-7692bar2015140007,Bounded Creativity: Understanding The Restrictions On Creative Work In Advertising Agencies,"Romeiro, Alexandre Anderson; Wood Jr, Thomaz",2015,10.1207/s15326934crj1801_10,06/08/2010,12/03/2019
