9554,"Aflibercept – Setting its Sights on Diabetic Macular Oedema (HSC) Medicine - Diabetes; (HSC) Medicine - Drug Design; (HSC) Medicine - Ophthalmology;  European Ophthalmic Review ---Touch Medical Media Centre Hospitalier Universitaire, Bordeaux, France Department of Ophthalmology, University of Amsterdam, The Netherlands Royal Liverpool University Hospital, UK http://retractionwatch.com/2015/06/05/well-tell-you-later-says-ophthalmology-journal-about-retracted-paper/",+Notice - Lack of+Retract and Replace,Jean-François Korobelnik Reinier Schlingemann Jan Pearce,10/03/2014  10.17925/EOR.2014.08.02.152,01/01/2015,Conference Abstract/Paper Retraction,France Netherlands United Kingdom Unknown
4244,"Effects of an integrated self-management program on self-management, glycemic control, and maternal identity in women with gestational diabetes mellitus (HSC) Medicine - Endocrinology; (HSC) Medicine - Obstetrics/Gynecology; (PUB) Society/Association Journals;  Journal of Korean Academy of Nursing ---Korean Society of Nursing Science Department of Nursing, Dongnam Health College, Suwon, KoreaCollege of Nursing · Nursing Policy Research Institute, Yonsei University, Seoul, Korea",+Duplication of Article+Duplication of Text,HeeSook Kim Sue Kim,02/28/2013 23563070 10.4040/jkan.2013.43.1.69,10/31/2014 25543342 10.4040/jkan.2014.44.5.593,Research Article Retraction,South Korea No
4707,"Replication of heart rate variability provocation study with 2.4-GHz cordless phone confirms original findings (HSC) Medicine - Cardiovascular; (HSC) Public Health and Safety;  Electromagnetic Biology and Medicine ---Taylor and Francis Environmental and Resource Studies, Trent University, Peterborough, ON, Canada Bioenergimed Metabolic Institute, Schyykill Haven, PA USA",+Investigation by Company/Institution+Lack of IRB/IACUC Approval,Magda Havas Jeffrey Marrongelle,05/15/2013 23675629 10.3109/15368378.2013.776437,10/30/2014 25356664 10.3109/15368378.2014.978190,Clinical Study Retraction,Canada United States No
3592,"Serum Mucosa-associated Epithelial Chemokine in Atopic Dermatitis: A Specific Marker for Severity (BLS) Anatomy/Physiology; (BLS) Biochemistry; (BLS) Biology - Cellular; (HSC) Medicine - Dermatology;  Indian Journal of Dermatology ---Wolters Kluwer Department of Pediatrics, Faculty of Medicine, Ain Shams University, Cairo, Egypt Department of Clinical Pathology, Faculty of Medicine, Ain Shams University, Cairo, Egypt http://retractionwatch.com/2014/12/10/rash-decision-duplicate-submission-dermatitis-paper-leads-publishing-ban/",+Duplication of Article+Euphemisms for Duplication,M H M Ezzat K Y Shaheen,09/10/2009 20161852 10.4103/0019-5154.55630,10/30/2014 25483454 10.4103/0019-5154.143618,Research Article Retraction,Egypt No
8442,"Assessment of hematopoietic and neurologic pathophysiology of HCLS1-associated protein X-1 deficiency in a Hax1-knockout mouse model (BLS) Genetics; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Neurology;  Experimental Hematology ---Elsevier Institute of Experimental Hematology, Hannover Medical School, Hannover, Germany Clinic of Neurology, Hannover Medical School, Hannover, Germany Von Hauner Children's Hospital, Ludwig-Maximilians University, Munich, Germany Division of Hematology/Oncology, Boston Children's Hospital, Harvard Medical School, Boston, MA, United States",+Notice - Limited or No Information+Temporary Removal,Emanuele G Coci Nadine Thau-Habermann Tobias Maetzig Zhixiong Li Christoph Klein Susanne Petri Axel Schambach,10/28/2014 25448489 10.1016/j.exphem.2014.10.010,10/28/2014,Research Article Expression of concern,Germany United States No
9346,"Transcription Factor 7-Like 2 Regulates ß-Cell Survival and Function in Human Pancreatic Islets (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Diabetes; (PUB) Society/Association Journals;  Diabetes ---American Diabetes Association Larry L. Hillblom Islet Research Center, Department of Medicine, University of California, Los Angeles, Los Angeles, California Division of Transplantation, University of Illinois at Chicago, Chicago, Illinois http://retractionwatch.com/2015/01/12/leading-diabetes-researcher-corrects-paper-dozen-studies-questioned-pubpeer/ http://retractionwatch.com/2016/08/10/journal-flags-two-papers-by-prominent-diabetes-researcher-more-questioned-on-pubpeer/ http://retractionwatch.com/2017/05/01/university-suggests-journal-correct-diabetes-paper-publisher-retracts/",+Error in Data+Error in Image,Luan Shu Nadine S Sauter Fabienne T Schulthess Aleksey V Matveyenko José Oberholzer Kathrin Maedler,12/10/2007 18071026 10.2337/db07-0847,10/23/2014  10.2337/db14-er11,Research Article Correction,United States No
5469,"Sonochemical synthesis of poly(methyl methacrylate) core–surfactin shell nanoparticles for recyclable removal of heavy metal ions and its cytotoxicity (HSC) Public Health and Safety; (PHY) Chemistry; (PHY) Materials Science;  RSC Advances ---Royal Society of Chemistry (RSC) School of Life Sciences, North Maharashtra University, Jalgaon, India University Institute of Chemical Technology, North Maharashtra University, Jalgaon, India http://retractionwatch.com/2014/11/25/nanoparticle-paper-earns-retraction-for-lack-of-reproducibility/",+Error in Analyses+Error in Methods+Error in Results and/or Conclusions+Results Not Reproducible,Debasree Kundu Chinmay Hazra Aniruddha Chatterjee Ambalal Chaudhari Satyendra Mishra,05/29/2014  10.1039/C4RA03008G,10/22/2014  10.1039/C4RA90036G,Research Article Retraction,India No
1898,"Primary small cell undifferentiated (neuroendocrine) carcinoma of the maxillary sinus (HSC) Medicine - Oncology; (HSC) Medicine - Otorhinolaryngology;  Case Reports in Dentistry ---Hindawi Department of Oral and Maxillofacial Surgery, Chitwan Medical College (P) Ltd, P.O. Box 42, Bharatpur-10, Chitwan, Nepal  Department of Oral and Maxillofacial Surgery, Manipal College of Dental Sciences, Manipal University, Lighthouse Hill Road, Mangalore 575001, India",+Concerns/Issues About Authorship,Santosh Kumar Yadav Premalatha Shetty,02/03/2014 24639904 10.1155/2014/463109,10/21/2014 25374701 10.1155/2014/609802,Case Report Retraction,India Nepal No
6741,"Dominant suppression of inflammation by glycan-hydrolyzed IgG (HSC) Medicine - Immunology;  PNAS: Proceedings of the National Academy of Sciences of the United States of America ---National Academy of Sciences (NAS) Medical Inflammation Research and Chemistry I Division, Department of Medical Biochemistry and Biophysics, Karolinska Institute, 171 77 Stockholm, Sweden Division of Infection Medicine, Department of Clinical Sciences, Lund University, 22184 Lund, Sweden Department of Laboratory Medicine Malmö, Lund University, 205 02 Malmö, Sweden Department of Biochemistry and Molecular Biology, Monash University, Clayton, VIC 3800, Australia http://retractionwatch.com/2014/10/22/doing-the-right-thing-authors-retract-pnas-paper-when-new-experiments-show-conclusion-was-incorrect/",+Doing the Right Thing+Error in Results and/or Conclusions,Kutty Selva Nandakumar Mattias Collin Kaisa E Happonen Allyson M Croxford Susanna L Lundström Roman A Zubarev Merrill J Rowley Anna M Blom Rikard Holmdahl,05/13/2013 23671108 10.1073/pnas.1301480110,10/20/2014 25331904 10.1073/pnas.1419043111,Research Article Retraction,Australia Sweden No
2495,"Significant variations in afferent conduction and axonal morphology of aortic depressive nerve imply broader spectrum of baroreflex function of myelinated Ah-type baroreceptor neurons in female rats (BLS) Biology - General; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Pharmacology;  International Journal of Cardiology ---Elsevier Department of Pharmacology, Harbin Medical University, Harbin, China Key Laboratory of Cardiovascular Research, Ministry of Education, Harbin Medical University, Harbin, China Department of Immunology, Capital Medical University School of Basic Medical Science, 10 Xitoutiao, Youanmen, Fengtai District, Beijing 10069, China Department of Biomedical Engineering, School of Technology and Engineering, IN University Purdue University Indianapolis, Indianapolis, USA",+Forged Authorship,Zhen-Yu Yan Jian-Li He Xin Wen Meng Zuo Xin-Jing Guo Tian-Zhu Guo John H Schild Guo-Fen Qiao Bai-Yan Li,10/20/2014 25127981 10.1016/j.ijcard.2014.07.183,10/20/2014 25436268,Research Article Retraction,China United States No
3603,"Clinical Value of Circulating Tumor Cells for the Prognosis of Postoperative Transarterial Chemoembolization Therapy (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Oncology;  Medical Oncology ---Springer Department of Interventional Radiology, Cancer Center, Guangdong General Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China Department of Interventional Radiology, Cancer Center, Guangdong Cardiovascular Institute, Guangdong General Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China http://retractionwatch.com/2014/11/14/paper-on-circulating-tumor-cells-taken-out-of-circulation-after-lab-error/",+Error in Materials (General)+Error in Methods+Unreliable Data+Unreliable Results,Jian-wen Huang Bing Liu Bao-shan Hu Yong Li Xu He Wei Zhao You-bing Zheng Li-gong Lu,08/19/2014 25134918 10.1007/s12032-014-0175-5,10/17/2014 25323939 10.1007/s12032-014-0277-0,Research Article Retraction,China No
5166,"Increased muscle PGC-1alpha expression protects from sarcopenia and metabolic disease during aging (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Geriatric; (HSC) Medicine - Neurology;  PNAS: Proceedings of the National Academy of Sciences of the United States of America ---National Academy of Sciences (NAS) Departments of Neurology and Cell Biology and Anatomy, University of Miami School of Medicine, Miami, FL33136Department of Cell Biology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA 02115 http://retractionwatch.com/2015/10/26/biologists-investigating-duplicated-images-in-retracted-paper/ http://retractionwatch.com/2016/10/03/german-university-recommends-that-six-papers-be-retracted-following-probe/ http://retractionwatch.com/2016/12/19/researchers-retract-two-well-cited-papers-misconduct/",+Error in Image,Tina Wenz Susana G Rossi Richard L Rotundo Bruce M Spiegelman Carlos T Moraes,11/16/2009 19918075 10.1073/pnas.0911570106,10/15/2014  10.1073/pnas.1419095111,Research Article Correction,United States No
2001,"Effect of early versus late or no tracheostomy on mortality of critically ill patients receiving mechanical ventilation: a systematic review and meta-analysis (HSC) Medicine - Pulmonology; (HSC) Medicine - Surgery;  The Lancet: Respiratory Medicine ---Elsevier Department of Medicine, Division of Pulmonary and Critical Care Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USAFirst Department of Critical Care Medicine and Pulmonary Services, Evangelismos Hospital, University of Athens Medical School, Athens, GreeceDepartment of Medicine, Division of Pulmonary and Critical Care Medicine, New York-Presbyterian Hospital-Weill Cornell Medical Center, Weill Cornell Medical College, New York, NY, USASchool of Public Health, Imperial College London, London, UK http://retractionwatch.com/2015/04/02/retraction-and-republication-for-lancet-resp-med-tracheostomy-paper/ http://retractionwatch.com/2014/11/13/lancet-journal-puts-icu-paper-on-watch-after-authors-acknowledge-potentially-fatal-flaw/",+Error in Data+Investigation by Journal/Publisher+Unreliable Data,Ilias I Siempos Theodora K Ntaidou Filippos T Filippidis Augustine M K Choi,06/27/2014 24981963 10.101 6S2213-2600(14)70141-9,10/13/2014 25439567 10.1016/S2213-2600(14)70235-8,Meta-Analysis Expression of concern,Greece United Kingdom United States No
18428,"Identification of an antitumor immune response of polyhistidine through a toll-like receptor 4-dependent manner (BLS) Biochemistry; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Immunology;  Biochemical and Biophysical Research Communications  (BBRC) ---Elsevier Department of Gastroenterology, The Tenth People’s Hospital of Shanghai, Tongji University, Shanghai 200072, PR China Department of Nanomedicine, Houston Methodist Research Institute, Houston, TX 77030, USA Department of Medicine, Weill Cornell Medical College, New York, NY 10065, USA http://retractionwatch.com/2016/07/21/author-pulls-study-for-duplication-citing-editing-company/",+Investigation by Company/Institution+Plagiarism of Data,Feng Wang Yong Yang,09/26/2014 00000000 10.1016/j.bbrc.2014.09.078,10/10/2014 00000000 10.1016/j.bbrc.2014.09.078,Research Article Retraction,China United States No
1517,"Immunotherapy of Metastatic Colorectal Cancer with Vitamin D-binding Protein-derived Macrophage-activating Factor, GcMAF (BLS) Biology - Cancer; (BLS) Biology - Molecular; (BLS) Genetics; (BLS) Microbiology; (HSC) Medicine - Immunology;  Cancer Immunology, Immunotherapy (CII) ---Springer Division of Cancer Immunology and Molecular Immunology, Socrates Institute for Therapeutic Immunology, Philadelphia, USA Nagasaki Immunotherapy Research Group, Yokoh, Japan Yokoyama Gastroenterology Hospital, Nagoya, Japan Nakagawa Hospital, Fukuoka City, Japan Division of Cancer Immunology and Molecular Biology, Socrates Institute for Therapeutic Immunology, Philadelphia, USA http://retractionwatch.com/2014/10/10/yet-another-study-of-widely-touted-cancer-cure-retracted/",+Lack of IRB/IACUC Approval,Nobuto Yamamoto Hirofumi Suyama Hiroaki Nakazato Nobuyuki Yamamoto Yoshihiko Koga,12/06/2007 18058096 10.1007/s00262-007-0431-z,10/09/2014 25297451 10.1007/s00262-014-1616-x,Research Article Retraction,Japan United States No
3530,"The Predictors of the Job Stress among Female Married Hospital Nurses (HSC) Medicine - Nursing; (SOC) Psychology; (SOC) Sociology;  Industrial Health ---National Institute of Occupational Safety and Health, Japan Department of Nursing, Meiho University, Taiwan Language Education Center, Fooyin University, Taiwan Department of Food and Nutrition, Meiho University, Taiwan Department of Rehabilitation, Division of Erlin, Changhua Christian Hospital, Taiwan",+Notice - Limited or No Information,Li Fang Shu-Hui Fang Yun-Ho Chung Chin-Lin Fang,05/07/2014 24807125 10.2486/indhealth.2014-0013,10/06/2014 25283729 10.2486/indhealth.2014-0013e,Clinical Study Retraction,Taiwan No
3845,"What makes an accurate and reliable subject-specific finite element model? A case study of an elephant femur (BLS) Anatomy/Physiology; (HSC) Veterinary Science;  Journal of the Royal Society: Interface ---Royal Society Structure and Motion Laboratory, Department of Veterinary Basic Sciences, The Royal Veterinary College, University of London, London, UK. http://retractionwatch.com/2014/08/20/elephant-femur-paper-subject-to-expression-of-concern-retracted-following-investigation/ http://retractionwatch.com/2014/07/17/authors-issue-their-own-expression-of-concern-about-elephant-femur-paper/",+Concerns/Issues About Results+Error in Data+Error in Methods+Error in Results and/or Conclusions+Upgrade/Update of Prior Notice,Olga Panagiotopoulou S D Wilshin E J Rayfield S J Shefelbine J R Hutchinson,02/07/2012 21752810 10.1098/rsif.2011.0323,10/06/2014 25142526 10.1098/rsif.2014.0854,Research Article Retraction,United Kingdom No
17261,"What makes an accurate and reliable subject-specific finite element model? A case study of an elephant femur (BLS) Anatomy/Physiology; (HSC) Veterinary Science;  Journal of the Royal Society: Interface ---Royal Society Structure and Motion Laboratory, Department of Veterinary Basic Sciences, The Royal Veterinary College, University of London, London, UK. http://retractionwatch.com/2014/08/20/elephant-femur-paper-subject-to-expression-of-concern-retracted-following-investigation/ http://retractionwatch.com/2014/07/17/authors-issue-their-own-expression-of-concern-about-elephant-femur-paper/",+Concerns/Issues About Results,Olga Panagiotopoulou S D Wilshin E J Rayfield S J Shefelbine J R Hutchinson,02/07/2012 21752810 10.1098/rsif.2011.0323,07/16/2014 25030388 10.1098/rsif.2014.0700,Research Article Expression of concern,United Kingdom No
17453,"Measles-mumps-rubella Vaccination Timing and Autism Among Young African American Boys: A Reanalysis of CDC Data (BLS) Neuroscience; (HSC) Medicine - Pediatrics; (HSC) Medicine - Pharmacology;  Translational Neurodegeneration ---BioMed Central (BMC) Simpson University, Redding, CA, USA http://retractionwatch.com/2014/08/27/journal-takes-down-autism-vaccine-paper-pending-investigation/ http://retractionwatch.com/2014/10/04/journal-makes-it-official-retracting-controversial-autism-vaccine-paper/",+Conflict of Interest+Unreliable Data+Unreliable Results+Upgrade/Update of Prior Notice,Brian S Hooker,08/17/2014 25114790 10.1186/2047-9158-3-16,10/03/2014 25285211 10.1186/2047-9158-3-22,Clinical Study Retraction,United States No
1801,"Measles-mumps-rubella Vaccination Timing and Autism Among Young African American Boys: A Reanalysis of CDC Data (BLS) Neuroscience; (HSC) Medicine - Pediatrics; (HSC) Medicine - Pharmacology;  Translational Neurodegeneration ---BioMed Central (BMC) Simpson University, Redding, CA, USA http://retractionwatch.com/2014/08/27/journal-takes-down-autism-vaccine-paper-pending-investigation/ http://retractionwatch.com/2014/10/04/journal-makes-it-official-retracting-controversial-autism-vaccine-paper/",+Conflict of Interest+Unreliable Data+Unreliable Results,Brian S Hooker,08/17/2014 25114790 10.1186/2047-9158-3-16,09/01/2014 25285211 10.1186/2047-9158-3-22,Clinical Study Retraction,United States No
2454,"Effects of Valsartan and Amlodipine on Home Blood Pressure and Cardiovascular Events in Japanese Hypertensive Patients: A Subanalysis of the VART (BLS) Biology - General; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Pharmacology;  Journal of Human Hypertension ---Nature Publishing Group Department of Cardiovascular Science and Medicine, Chiba University Graduate School of Medicine, Chiba, Japan Department of Cardiovascular Medicine, Osaka University Graduate School of Medicine, Osaka, Japan http://retractionwatch.com/2015/01/05/cant-spell-novartis-without-vart-drug-study-retracted-conflict-interest/",+Conflict of Interest+Unreliable Data+Upgrade/Update of Prior Notice,Hiroyuki Takano Hitoshi Hasegawa Hiroya Narumi Satoshi Shindo Hiroshi Mizuma Yoichi Kuwabara Yuzuru Kobayashi Issei Komuro,10/13/2011 21993491 10.1038/jhh.2011.91,10/02/2014 25296718 10.1038/jhh.2014.90,Case Report Retraction,Japan No
6358,"A randomized, double-blind, placebo-controlled study assessing the anti-inflammatory effects of ketamine in cardiac surgical patients (HSC) Medicine - Cardiology; (HSC) Medicine - Surgery;  Journal of Cardiothoracic and Vascular Anesthesia ---Elsevier Department of Anesthesiology, Columbia University College of Physicians and Surgeons, New York, NY 10032-3784, USA http://retractionwatch.com/2016/06/13/columbia-investigation-reveals-researcher-faked-data-and-a-degree/",+Falsification/Fabrication of Data+Investigation by Journal/Publisher+Misconduct by Author,Cristian Bartoc Robert J Frumento Maya Jalbout Elliott Bennett-Guerrero Evelyn Du Ervant Nishanian,04/01/2006 16616662 10.1053/j.jvca.2005.12.005,10/01/2014 25319992 10.1053/j.jvca.2014.07.030,Clinical Study Retraction,United States No
4634,"Association Between Bevacizumab-related Chemotherapy Regimens and Serum Vascular Endothelial Growth Factor-A165b Level in Patients with Metastatic Colorectal Cancer (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Gastroenterology; (HSC) Medicine - Oncology; (HSC) Medicine - Pharmacology;  European Review for Medical and Pharmacological Sciences ---Verduci Editore Department of Oncology of the Affiliated Yantai Yuhuangding Hospital of Medical College Qingdao University, Yantai, China",+Notice - Limited or No Information+Withdrawal,L Xu C Chi C Wang LM Zhang,01/01/2014 25317804,10/01/2014 25392091,Research Article Retraction,China No
2774,"Bedside Surgery to Treat Patent Ductus Arteriosus in Low-Birth-Weight Premature Infants (BLS) Anatomy/Physiology; (BLS) Biology - General; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Surgery;  Open Journal of Cardiovascular Surgery (OJCS) ---SAGE Publications Department of Cardiovascular Surgery, Izmir University, Medical Park Hospital, Izmir, Turkey. Department of Cardiovascular Surgery, Dr. Behcet Uz Children Hospital, Izmir, Turkey Department of Pediatry, Izmir University, Medical Park Hospital, Izmir, Turkey Department of Cardiovascular Surgery, Tepecik Research Hospital, Izmir, Turkey",+Lack of IRB/IACUC Approval,Gökhan Albayrak Koray Aykut Mustafa Karacelik Ramazan Soylar Kemal Karaarslan Burçin Abud Mehmet Guzeloglu Eyup Hazan,08/17/2014 25512700 10.4137/OJCS.S16156,10/01/2014 25512701 10.4137/OJCS.S20358,Case Report Retraction,Turkey No
2911,"Concentric and eccentric: muscle contraction or exercise (HSC) Medicine - Orthopedics; (HSC) Medicine - Sports;  Journal of Ultrasound in Medicine: Official Journal of the American Institute of Ultrasound in Medicine ---Wiley Tunisian Research Laboratory ‘‘Sports Performance Optimization’’ National Center of Medicine and Science in Sport, Tunis, Tunisia Faculty of Medicine and Surgery, University of Rome ‘‘Tor Vergata’’, Rome, Italy UR CIAMS – Motor Control and Perception Group, Sport Sciences Department, Université Paris-Sud, Orsay, France Research and Education Centre, Aspetar, Qatar Orthopaedic and Sports Medicine Hospital, Doha, Qatar",+Duplication of Article+Withdrawal,Johnny Padulo Guillaume Laffaye Karim Chamari,11/01/2013 24154912 10.7863/ultra.32.11.2047,10/01/2014 25253841 10.7863/ultra.33.10.1878,Letter Retraction,France Italy Qatar Tunisia No
4569,"Design, synthesis, and antioxidant potency of novel alpha-tocopherol analogues in isolated membranes and intact cells. (HSC) Medicine - Drug Design; (HSC) Medicine - Pathology;  Free Radical Biology & Medicine ---Elsevier Institute of General Pathology, Catholic University, 00168 Rome, Italy http://retractionwatch.com/2014/09/26/deceased-researcher-has-two-more-papers-retracted/",+Investigation by Company/Institution+Manipulation of Images,Paola Palozza Rossella Simone Nevio Picci Lisa Buzzoni Nunzia Ciliberti Anna Nantangelo Stefano Manfredini Silvia Vertuani,01/15/2008 18242194 10.1016/j.freeradbiomed.2008.01.001,10/01/2014 25371920,Research Article Retraction,Italy No
1254,"Determination of 4-hydroxy-2-nonenal in serum by high-performance liquid chromatography with fluorescence detection after pre-column derivatization using 4-(N,N-dimethylaminosulfonyl)-7-hydrazino-2, 1,3-benzoxadiazole (BLS) Biochemistry; (HSC) Medicine - Oncology;  Biomedical Chromatography ---Wiley Graduate School of Biomedical Sciences, Course of Pharmaceutical Sciences, Nagasaki University, Nagasaki, Japan Sasebo Chuo Hospital, Sasebo, Japan Showa University Fujigaoka Hospital, Yokohama, Japan Department of Pharmaceutical Analytical Chemistry, Faculty of Pharmacy, Assiut University, Assuit, Egypt http://retractionwatch.com/2014/08/28/deja-vu-double-pub-in-the-same-issue-earns-a-retraction/",+Duplication of Article+Error by Journal/Publisher,Takahiro Imazato Akina Shiokawa Yuri Kurose Yasuha Katou Naoya Kishikawa Kaname Ohyama Marwa Fathy Bakr Ali Yukitaka Ueki Eisuke Maehata Naotaka Kuroda,06/01/2014 24861754 10.1002/bmc.3166,10/01/2014 25346974 10.1002/bmc.3320,Research Article Retraction,Egypt Japan
4833,"Drug-induced Photoallergic and Phototoxic Reactions - An Update (BLS) Microbiology; (HSC) Medicine - Immunology;  Expert Opinion on Drug safety ---Taylor and Francis New York Presbyterian Hospital, Weill Cornell Medical College, Department of Dermatology, New York, NY 10021, USADerek Ho SUNY Downstate College of Medicine, Brooklyn, NY 11203, USA",+Error in Text+Unreliable Results,Noah S Scheinfeld Karen Chernoff Man Kin Derek Ho Yen Chen Liu,02/18/2014 24547917 10.1517/14740338.2014.885948,10/01/2014 25213105 10.1517/14740338.2014.961268,Research Article Retraction,United States No
5389,"Electroconvulsive Therapy and Aerobic Exercise Training Increased BDNF and Ameliorated Depressive Symptoms in Patients Suffering From Treatment-resistant Major Depressive Disorder (BLS) Neuroscience; (HSC) Medicine - Psychiatry; (HSC) Medicine - Rehabilitation/Therapy; (SOC) Psychology;  Journal of Psychiatric Research ---Elsevier Research Center for Behavioral Disorders and Substances Abuse, Hamadan University of Medical Sciences, Hamadan, Iran ASEAN Institute for Health Development, Mahidol University, Salaya, Phutthamonthon, Nakhon Pathom 73170, Thailand Department of Sport, Exercise and Health, Division of Sport Science, University of Basel, Basel, Switzerland Institute of Neurobiology, Bulgarian Academy of Sciences, Sofia, Bulgaria Psychiatric Clinics of the University of Basel, Center for Affective, Stress and Sleep Disorders (ZASS), Basel, Switzerland http://retractionwatch.com/2016/02/08/authors-used-wrong-dataset-in-study-on-shock-therapy-exercise-in-depression/",+Error in Analyses+Error in Data+Unreliable Data+Unreliable Results,Iraj Salehi Seyed Mohammad Hosseini Mohammad Haghighi Leila Jahangard Hafez Bajoghli Markus Gerber Uwe Pühse Roumen Kirov Edith Holsboer-Trachsler Serge Brand,07/04/2014  10.1016/j.jpsychires.2014.06.018,10/01/2014 25073431 10.1016/j.jpsychires.2014.06.018,Research Article Retraction,Bulgaria Iran Switzerland Thailand No
3832,"IL-37 reduces inflammatory response after cerebral ischemia and reperfusion injury through down-regulation of pro-inflammatory cytokines (HSC) Medicine - Immunology; (HSC) Medicine - Neurology;  Cytokine ---Elsevier Department of Immunology, Medical School, Australian National University (ANU), Australia",+Author Unresponsive+Concerns/Issues About Data+Concerns/Issues About Results+Falsification/Fabrication of Data+Forged Authorship+Investigation by Journal/Publisher,Faye J Patel Domenico T Volkmann Gary W Taylor Michael A Hansson Jerzy F Anderson Yuko Zhou Leonardo M Scoazec Christina V Hartford Douglas L Hainz,07/08/2014  10.1016/j.cyto.2014.06.011,10/01/2014 25010391 10.1016/j.cyto.2014.06.011,Research Article Retraction,Australia No
1023,"Misuse of Tri-solfen in Cattle is a Concern for Export Industry (B/T) Business - General; (BLS) Toxicology; (HSC) Veterinary Science;  Australian Veterinary Journal ---Wiley Australian Veterinary Association, Australia",+Error in Data+Error in Text,Rena Richmond,09/01/2014 25591241 10.1111/avj.133,10/01/2014 25551889 10.1111/avj.135,Review Article Retraction,Australia Unknown
9060,"Preparation/characterization of solid dispersions and enhancement of dissolution rate on celecoxib as BCS II class (HSC) Medicine - Drug Design; (PHY) Chemistry; (PUB) Society/Association Journals;  Journal of Pharmaceutical Investigation ---Springer Department of BIN Fusion Technology, Department of Polymer Nano Science & Technology and Polymer BIN Research Center, Chonbuk National University, 567 Baekje-daero, Deokjin, Chonju 561-756, Korea http://retractionwatch.com/the-retraction-watch-leaderboard/",+Duplication of Article,Jung Hwan Lee Young Lae Kim So Jin Lee Jaewon Yang Jin Young Park Eun Young Kim Dongwon Lee Gilson Khang,09/12/2013 00000000 10.1007/s40005-013-0090-3,10/01/2014 00000000 10.1007/s40005-013-0090-3,Research Article Retraction,South Korea Unknown
4571,"Redox regulation of 7-ketocholesterol-induced apoptosis by beta-carotene in human macrophages. (HSC) Medicine - Pathology;  Free Radical Biology & Medicine ---Elsevier Institute of General Pathology, Catholic University School of Medicine, L. Go F. Vito, 1 00168 Rome, Italy. http://retractionwatch.com/2014/09/26/deceased-researcher-has-two-more-papers-retracted/",+Investigation by Company/Institution+Manipulation of Images,Paola Palozza Simona Serini Sara Verdecchia Maria Ameruso Sonio Trombino Nevio Picci,02/28/2007 17448905 10.1016/j.freeradbiomed.2007.02.023,10/01/2014 25371921,Research Article Retraction,Italy No
4873,"The effects of a transtheoretical model-based exercise stage-matched intervention on exercise behavior in patients with coronary heart disease: a randomized controlled trial (HSC) Medicine - Cardiovascular;  Patient Education and Counseling ---Elsevier School of Nursing, The Hong Kong Polytechnic University, Hong KongAlice Lee Centre for Nursing Studies, Yong Loo Lin School of Medicine, National University of Singapore, SingaporeThe Nethersole School of Nursing, The Chinese University of Hong Kong, Hong Kong http://retractionwatch.com/2015/02/06/heart-study-bleeds-three-papers-one-retracted-one-withdrawn/ http://retractionwatch.com/2015/03/04/second-exercise-study-retracted-in-four-paper-pileup/",+Duplication of Article,Li-Xia Zhu Shuk-Ching Ho Janet Wing Hung Sit Hong-Gu He,03/28/2014 24726785 10.1016/j.pec.2014.03.013,10/01/2014 24976395 10.1111/jan.12469,Research Article Retraction,Hong Kong Singapore No
16569,"To investigate the effect of osteoporosis and intervertebral disc degeneration on the endplate cartilage injury in rats (BLS) Anatomy/Physiology; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Orthopedics;  Asian Pacific Journal of Tropical Medicine ---Elsevier Department of Orthopaedics, Beijing Tiantan Hospital affiliated to Capital Medical University, Beijing, 100050, China Department of Neurosurgery, University Hospital, University of Ghent, Belgium Department of Human Anatomy, Embryology, Histology and Medical Physics, University of Ghent, Belgium",+Plagiarism of Article,Lei Wang Wei Cui Jean Pierre Kalala Tom Van Hoof Bao-Ge Liu,08/14/2014 25129463 10.1016/S1995-7645(14)60139-5,10/01/2014 00000000 10.1016/S1995-7645(14)60139-5,Research Article Retraction,Belgium China No
9793,"Analyzing road surface conditions, collision time, and road structural factors associated with bicycle collisions from 2000 to 2010 in Saskatoon, Saskatchewan (B/T) Transportation; (B/T) Urban Planning; (HSC) Public Health and Safety; (PHY) Statistics;  Journal of Transport & Health ---Elsevier School of Public Health, University of Saskatchewan, Canada Department of Community Health and Epidemiology, University of Saskatchewan, Canada http://retractionwatch.com/2015/02/24/stats-mistake-crashes-bike-accident-paper/",+Doing the Right Thing+Error in Methods+Error in Results and/or Conclusions+Unreliable Results,Danzhu (Anna) Chen Daniel Fuller,01/01/2014  10.1016/j.jth.2013.12.001,09/30/2014  10.1016/j.jth.2014.09.005,Research Article Retraction,Canada No
