citfunc,sectitle,refentry,art,sectype,sectype2,refid,sec,ctx,pointerlist,nbcontexts,nbsections,itrp,anchorsent,partext,potential_cf,annotator,dataset
"describes","","","10.1038/sj.mp.4001181","","","","","","","","","","the hypothesis that combined measles-mumps-rubella (mmr) vaccine may cause autism was advanced by wakefield and colleagues in a report describing 12 patients with inflammatory bowel conditions and regressive developmental disorders, primarily autism.1 the authors hypothesized that mmr vaccine may have been responsible for the bowel dysfunction which subsequently resulted in the neurodevelopmental disorders.","","","describes","coci_wakefield_ret_intext_ref.csv"
"disputes","","","10.1038/sj.mp.4001181","","","","","","","","","","the main evidence of an association with vaccination was that for eight of the 12 cases the child's parents or pediatrician suspected that mmr vaccine may have contributed to the onset of behavioral problems. the authors speculated that persistent measles virus infection of the gastrointestinal tract could have resulted in pathologic changes that allowed gastrointestinal absorption of toxic neuropeptides which then caused central nervous system damage and neurodevelopmental regression.1
there are a number of limitations to evidence from the case reports.","","","disputes","coci_wakefield_ret_intext_ref.csv"
"describes","","","10.1038/sj.mp.4001163","","","","","","","","","","possible adverse reactions to vaccines attract considerable attention from various pressure groups and from the media, with important and possibly catastrophic effects on public confidence in immunisations and on vaccine-uptake. in 1998, wakefield and others published a case series of 12 children referred with bowel symptoms to a tertiary paediatric gastroenterology unit.1 nine of the children had autistic spectrum disorders including one with asperger’s syndrome, one had disintegrative psychosis, two had possible post viral/vaccinial encephalitis.","","","describes","coci_wakefield_ret_intext_ref.csv"
"disputes","","","10.1038/sj.mp.4001163","","","","","","","","","","other epidemiological studies have confirmed these negative findings.7 
the pattern of bowel abnormalities identified in the wakefield et al1 case series was described as a specific ‘autistic enterocolitis’. the case for such an entity has not been proven and there are strong arguments8 against the biological plausibility of the sequence suggested as leading to the onset of autism—whereby a previously normal child receives mmr vaccine, develops bowel problems (‘autistic enterocolitis’) which leads to abnormal absorption of dietary or digestive constituents and the child then undergoes developmental and/or behavioural regression (‘regressive autism’).","","","disputes","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1038/sj.mp.4001163","","","","","","","","","","this ‘new-variant’ autism has been incriminated as the cause of the apparent increase in the prevalence of autistic spectrum disorders, although fombonne 9 has presented evidence that the observed increase does not reflect a real rise. 
although the original paper1 described a short interval between vaccination and symptoms, wakefield has recently postulated10 that the onset of mmr-induced ‘regressive autism’ may occur after a prolonged induction interval and requires in addition co-factors such as an intercurrent infection, the child receiving antibiotics, atopy in the child, a strong family history of autoimmune disease or maternal mmr or rubella immunisation shortly before, during or after pregnancy. this modified hypothesis could thereby explain the negative findings of the epidemiological studies.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"uses data from","","","10.1038/sj.mp.4001178","","","","","","","","","","we have evaluated over 180 children by ileo-colonoscopy and biopsy. systematic analyses of the first 60 children3,4 and in-depth immunohistochemical characterisation of a subsequent 21 children5 with appropriate controls, have been described. endoscopic features include ileal lymphoid nodular hyperplasia (lnh) and macroscopic evidence of colitis.","","","uses data from","coci_wakefield_ret_intext_ref.csv"
"cites for information","","","10.1038/sj.mp.4001179","","","","","","","","","","the intestinal pathology includes ileo-colonic lymphoid nodular hyperplasia (lnh) and a subtle enterocolitis. clinical and pathological aspects of this disorder have previously been reported.1,2,3
in ileal lymphoid tissues of affected children, the presence of reactive follicular hyperplasia may reflect antigenic presence at this site.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"describes","does the mmr vaccine cause autism?","","10.1586/14760584.1.2.145","","","","","","","","","","in 1998, the inflammatory bowel disease study group (ibdsg) at the royal free hospital in london, uk, proposed a novel model to explain the pathogenesis of autism [2]. they noted that a significant number of children seen in their clinic had both gastrointestinal symptoms and developmental delay.","","","describes","coci_wakefield_ret_intext_ref.csv"
"discusses","does the mmr vaccine cause autism?","","10.1586/14760584.1.2.145","","","","","","","","","","in addition, biopsy specimens from nine of the 12 children revealed lymphoid hyperplasia within the terminal ileum. these investigators postulated that ‘an inflamed or dysfunctional intestine may play a part in behavioral changes in some children’ by permitting the uptake of a ‘provocative enteric antigen’ [2]. 
due to their long-standing interest in the origins of inflammatory bowel diseases (ibd), the british research team also explored possible underlying causes of colitis in this group of patients.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","does the mmr vaccine cause autism?","","10.1586/14760584.1.2.145","","","","","","","","","","due to their long-standing interest in the origins of inflammatory bowel diseases (ibd), the british research team also explored possible underlying causes of colitis in this group of patients. extending their prior interest in the possible association between ibd and measles infection [3–5], wakefield and colleagues reviewed the immunization records of these patients [2]. they observed that all patients had received the mmr vaccine.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"qualifies","does the mmr vaccine cause autism?","","10.1586/14760584.1.2.145","","","","","","","","","","despite abundant evidence that there was no association between the mmr-containing vaccines and ibd, the 1998 report of a potential association between measles vaccines, nonspecific colitis and autism provoked renewed concerns about the safety of this vaccine [2]. over the past 4 years, researchers have used various strategies to examine this hypothesis.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"disputes","immunizations","","10.1097/00008480-200208000-00024","","","","","","","","","","pediatricians are uniquely poised to clarify parental misconceptions regarding the safety of immunization.
two independent committees have addressed the hypothesis that the measles-mumps-rubella (mmr) vaccine is causally linked with the development of autism [67]. the aap convened a multidisciplinary panel of experts to address the same issue and, after reviewing multiple studies, concluded that “the available evidence does not support the hypothesis that mmr vaccine causes autism or associated disorders.”","","","disputes","coci_wakefield_ret_intext_ref.csv"
"describes","","","10.1046/j.1365-277x.2002.00372.x","introduction","","","","","","","","","d'eufemia et al. (1996) in a study of 20 children with autism demonstrated that nine (42%) had increased gut permeability. wakefield et al. (1998) reported an increased incidence of ileal lymphoid nodular hyperplasia in asd children, similar to that found in inflammatory bowel disease although his sample only included those presenting with an abnormal bowel history. waring & klovrza (2000) examined the role of sulphur.","","","describes","coci_wakefield_ret_intext_ref.csv"
"describes","discussion","","10.1086/341914","","","","","","","","","","to the extent that toxins were produced by an abnormal flora and gained access to the cns via the vagus nerve (as hypothesized by bolte [5]), the small bowel would be a logical site for the abnormal flora because the vagus nerve innervates primarily the small bowel. also, wakefield et al. [14, 15>] have described pathology in the terminal ileum and proximal colon in autism. some studies [16] have reported increased small-bowel permeability in autism, and, finally, some children with autism have watery diarrhea, which is characteristic of small-bowel disease.","","","describes","coci_wakefield_ret_intext_ref.csv"
"uses conclusions from","the problem in the kitchen: autism and opioid excess ","","10.1177/1359104502007004004","","","","","","","","","","evidently, there exists a subset of children with autism who have an immune-mediated gastrointestinal pathology (furlano et al., 2001; wakefield et al., 1998, 2000). clinically, the presence of this pathology may be difficult to infer from what can be somewhat abstruse symptomatology, including sudden, unprovoked temper tantrums, aggression and self-injurious behaviour.","","","uses conclusions from","coci_wakefield_ret_intext_ref.csv"
"describes","the problem in the kitchen: autism and opioid excess ","","10.1177/1359104502007004004","","","","","","","","","","upper and lower gastrointestinal endoscopy and biopsy are indicated in the presence of such symptoms. 
briefly, the mucosal lesion in affected children represents a novel lymphocytic enterocolitis, characterized by a relatively consistent pattern of lymphocyte and eosinophil infiltrate with a variable degree of acute inflammation (furlano et al., 2001; wakefield et al., 1998, 2000). in particular, both cd8+ cells and γδ t cells are present at high density.","","","describes","coci_wakefield_ret_intext_ref.csv"
"uses data from","the problem in the kitchen: autism and opioid excess ","","10.1177/1359104502007004004","","","","","","","","","","these include gliadmorphine and β-caesomorphine from the respective substrates, cereal gliadin and bovine casein. such a mechanism is plausible and supported by recent data, including our own (reichelt et al., 1990; wakefield et al., 1998, 2000). under normal circumstances abundant dietary peptides with potential opioid activity, are digested by brush border peptidases.","","","uses data from","coci_wakefield_ret_intext_ref.csv"
"uses conclusions from","the problem in the kitchen: autism and opioid excess ","","10.1177/1359104502007004004","","","","","","","","","","as with the great majority of cases of autism, the cause of the developmental regression in these children is not known. however, in many children referred to us, parental reports suggest a temporal relationship with exposure to the measles mumps rubella (mmr) vaccine (wakefield et al., 1998), an association reported by others (jyonouchi, sun, & le, 2001). this clearly represents a highly sensitive medical, legal and political issue, which has made objective assessment difficult.","","","uses conclusions from","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1097/00008480-200210000-00004","introduction","","","","","","","","","two studies were published in 1998, which drew significant attention and initiated a new period in the investigation of the gi tract of children with ad. wakefield et al. [4] described ileal-lymphoid-nodular hyperplasia and nonspecific colitis in 12 children with developmental disorders; for 9 of them the diagnosis was ad. the other study, which was a case report of three children with ad, reported the results of upper gi endoscopies.","","","credits","coci_wakefield_ret_intext_ref.csv"
"describes","part one: the measles-mumps-rubella debate","","10.1093/pch/7.9.623","","","","","","","","","","wakefield et al's (8) first publication in 1998 reported a consecutive series of 12 patients presenting with a loss of acquired language associated with diarrhea and abdominal pain. thorough, multisystem investigation demonstrated no definitive abnormalities other than nonspecific colitis and ileal-lymphoid-nodular hyperplasia that was found in nine of the children.","","","describes","coci_wakefield_ret_intext_ref.csv"
"discusses","part one: the measles-mumps-rubella debate","","10.1093/pch/7.9.623","","","","","","","","","","wakefield et al (8) claim that autism is the result of gastrointestinal abnormality, yet autistic symptoms predated reported gastrointestinal disturbance. because no control group existed, the reported ileonodular hyperplasia is considered to be a variant of normal.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","discussion","","10.1056/nejmoa021134","introduction","","","","","","","","","it has been suggested that the measles, mumps, and rubella (mmr) vaccine causes autism.1-4 the widespread use of the mmr vaccine has reportedly coincided with an increase in the incidence of autism in california,5 and there are case reports of children in whom signs of both developmental regression and gastrointestinal symptoms developed shortly after mmr vaccination.1","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","discussion","","10.1056/nejmoa021134","introduction","","","","","","","","","it has been suggested that the measles, mumps, and rubella (mmr) vaccine causes autism.1-4 the widespread use of the mmr vaccine has reportedly coincided with an increase in the incidence of autism in california,5 and there are case reports of children in whom signs of both developmental regression and gastrointestinal symptoms developed shortly after mmr vaccination.1 measles virus has been found in the terminal ileum in children with developmental disorders and gastrointestinal symptoms but not in developmentally normal children with gastrointestinal symptoms.6","","","discusses","coci_wakefield_ret_intext_ref.csv"
"disputes","discussion","","10.1056/nejmoa021134","introduction","","","","","","","","","furthermore, the results were derived from a nationwide cohort study with nearly complete follow-up data. 
all previous studies of an association between autism and mmr vaccination have been case series,1,14,15 ecologic studies,11,12 or cross-sectional studies,10,13 and the majority have not used optimal data for risk assessment. in a well-conducted, cross-sectional prevalence study, taylor and colleagues10 found that there was no sharp increase in the prevalence of autism after the introduction of the mmr vaccine.","","","disputes","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1002/ajmg.10615","introduction","","","","","","","","","then the full autism “syndrome” soon becomes evident [kurita, 1985; hoshino et al., 1987; rogers and dilalla, 1990; tuchman et al., 1991; tuchman and rapin, 1997; kobayashi and murata, 1998]. some investigators have hypothesized that regressive autism is caused by adverse reactions to vaccines [wakefield et al., 1998]. some parents are now reluctant to have their children vaccinated because they believe it may cause their children to develop autism [pareek and pattison, 2000; halsey and hyman, 2001; smeeth et al., 2001].","","","credits","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1002/ajmg.10935","","","","","","","","","","although a complex relationship may exist between autistic regression, epilepsy, and unusual epilepsy syndromes, such as the landau‐kleffner syndrome, autistic regression is a poorly understood phenomenon [filipek et al., 1999]. thus, wakefield et al. [1998] ignited considerable scientific and public concern when they reported 12 children with gastrointestinal disorders and developmental regression, and postulated that measles‐mumps‐rubella (mmr) vaccine administration could cause an autistic‐like condition.
several investigators subsequently closely examined the potential relationship between mmr vaccination and autism.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","are vaccinations safe? ","","10.1177/030857590202600408","","","","","","","","","","when a mental and/or physical disability of 80 per cent or more can be attributed to a vaccine the person involved is eligible for a vaccine damage payment. 
in 1998 a paper was published in a medical journal which stimulated widespread questioning of the safety of mmr vaccine (wakefield et al, 1998). later a possible association between infection by the measles virus and inflammatory bowel disease was proposed and subsequently the same authors suggested a link between autism, measles and mmr vaccine.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","are vaccinations safe? ","","10.1177/030857590202600408","","","","","","","","","","in finland a study of people with long-term crohn’s disease showed no increase in incidence following the introduction of mmr vaccination (peltola et al, 1986). 
following the concern about mmr vaccine a suggestion was put forward that single component vaccines given at yearly intervals would be beneficial, by avoiding overload of the immune system and possible bowel inflammation (wakefield et al, 1998). this has not been tried anywhere in the world and there is no evidence available to support adopting this practice.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"credits","mmr vaccine, inflammatory bowel disease and autism","","10.1590/s0104-59702003000500018","","","","","","","","","","the controversy over mmr (triple viral, measles, mumps, and rubella) vaccine as a cause of inflammatory bowel disease and autism began in 1998, with a study at the royal free hospital in london by wakefield et alii (1998). this study evaluated 12 children who had been referred to a pediatric gastroenterology service with a history of normal development and who had lost acquired skills, including language, with diarrhea and abdominal pain.","","","credits","coci_wakefield_ret_intext_ref.csv"
"disputes","alarmist consequence","","10.1109/mtas.2003.1166561","","","","","","","","","","patient choice and a precautionary approach have been vigorously promoted in british health policy. in 1998, a gastroenterologist, dr. andrew wakefield, presented 12 cases which, he claimed, suggested a link between autism and the triple vaccine, mmr [18]. despite other studies refuting his suggestion, a media campaign led to a significant drop in vaccination rates and caused serious government alarm by early 2002.","","","disputes","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1002/rmv.389","","","","","","","","","","despite being one of the most safe and effective viral vaccines in our armamentarium, the name‘mmr’ has plunged to new depths of opprobriumin the uk. the possibility that mmr might trigger autism was suggested by a surgeon who had seen12 cases in children, 8 of whom had received the vaccine [1]. this disease of unknown aetiology[2] has increased in incidence during the 1980’sand 1990’s, at least partly due to better ascertain-ment [2–5].","","","credits","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1038/sj.mp.4001266","","","","","","","","","","in 1998, the authors of a study of 12 children with pervasive developmental disorders (pdd) referred to a gastroenterology unit in a london (uk) hospital claimed that a new variant of autism, induced by immunization with the combined measles, mumps and rubella vaccine, had been identified1 and was responsible for increasing rates of pdd worldwide.2 subsequent studies from the same group of investigators3,4 on a larger sample claimed to have identified biological evidence of the persistence of measles virus in peripheral blood white cells and gut biopsies.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","other organ involvement in autism: the cerebellolimbic circuit as the master computer","","10.1097/01.nrl.0000051441.03160.e0","","","","","","","","","","many investigators have demonstrated gi abnormalities in autism (77) including esophagitis, disaccharide malabsorbtion, elevated number of paneth’s cells (78), chronic intestinal inflammation associated with immunodeficiency (79), and increased amount of vasoactive intestinal peptide (vip) in the blood of newborns who eventually developed autism (80). finally, there was a single case report of a child who improved after receiving secretin as part of a gi evaluation (81).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"cites for information","","","10.1002/jmv.10371","introduction","","","","","","","","","the use of pcr is attractive because of its robustness, reproducibility, sensitivity, specificity, and the ability to confirm the nature of the nucleic acid detected by determining its sequence.it has been proposed that measles virus and measles, mumps, and rubella vaccine (mmr) may be associated with the development of inflammatory bowel disease and juvenile autism [wakefield et al., 1993, 1997, 1998;thompson et al., 1995]. clinical samples from cases of crohn’s disease, ulcerative colitis, non determinate colitis, autistic enterocolitis, and subacute sclero sing panenc ephalitis (sspe) have been examined in various laboratories for the presence of measles virus genome sequences [iizuka et al., 1995; haga et al., 1996;chadwick et al., 1998; afzal et al., 1998, 2000;kawashima et al., 2000; uhlmann et al., 2002].","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"credits","discussion","","10.1086/368336","","","","","","","","","","in many countries of the region, these factors have led to the accumulation of susceptible younger and older persons who have not received the two doses of measles vaccine needed to interrupt indigenous measles transmission.
immunization programs in some countries have also been affected by the claim that measles vaccine given as mmr may be associated with a syndrome of inflammatory bowel disease and developmental disorders such as autism [13, 14]. although epidemiologic studies [15] and assessments [16, 17] have been published in the medical literature, the concerns of the public and health professionals do not appear to have been adequately addressed.","","","credits","coci_wakefield_ret_intext_ref.csv"
"credits","other environmental insults","","10.3109/9780203911723-10","","","","","","","","","","there has been speculation that some cases of autism have been caused by the measles-mumps-rubella (mmr) vaccine. this speculation was triggered primarily by a case series study in the united kingdom in which 12 children with a history of normal development developed chronic enterocolitis and regressive developmental disorder (50). the parents of eight of the children identified the mmr vaccine to be the immediate precursor of developmental regression.","","","credits","coci_wakefield_ret_intext_ref.csv"
"discusses","laboratory and other ancillary testing","","10.3109/9780203911723-4","","","","","","","","","","finally, the can consensus group discusses the observation that children with autism may have a higher incidence of certain childhood ailments, including infections (especially otitis media) (102), allergies (especially to food) and/or altered immune parameters (103–105), and gastrointestinal maladies (especially altered bowel patterns) (106–109). these associations have been the focus not only of ongoing research into a possible causal relationship between these ailments and the occurrence of autism, but also of intense debate.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","etiology of pdd/asd ","","10.3109/9780203911723-7","","","","","","","","","","all of these remain speculative. 
wakefield and his colleagues (74) generated intense controversy in the medical world when they reported evidence that the measles-mumps-rubella pervasive (mmr) vaccine may cause gastrointestinal problems that, in turn, lead to autistic behaviors. wakefield studied a group of children referred because of diarrhea and abdominal pain, along with a history of normal behavior followed by a loss of language and acquired skills within 2 weeks after receiving the mmr vaccinations.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"disputes","features of autism that complicate interpretation","","10.1097/00008480-200306000-00020","","","","","","","","","","the presence of gi symptoms might itself characterize an autistic subgroup: polymorphisms in a gene encoding a receptor for vip were somewhat more frequent in autistic children with gi symptomatology [10]. wakefield et al. [11,12] described a subgroup of children in whom gi symptoms and autistic regression were said to follow measles-mumps-rubella (mmr) immunization, but population-based studies did not confirm such an association [13–16].","","","disputes","coci_wakefield_ret_intext_ref.csv"
"cites for information","discussion","","10.1177/1362361303007002004","introduction","","","","","","","","","with an odds ratio of 1.0 (95 percent ci = 0.5–2.2) this study indicates that gi symptoms prior to diagnosis are not a risk factor for autism, but it does not address the prevalence of gi disorders in children with autism following diagnosis. in wakefield et al.’s (1998) original report some of the children developed their gi symptoms after the onset of their behavioral symptoms. 
the aim of this study was to estimate the prevalence of chronic gi symptoms in a general, non-referral population of children with autism and asd.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","discussion","","10.1177/1362361303007002004","introduction","","","","","","","","","it is limited by the absence of a directly comparable system from which to obtain control data. 
the 12 children whose gi symptoms were first reported by wakefield et al. (1998) all had a history of developmental regression, suggesting that regression may be associated with gi symptoms. in our sample of 137 children with asd, 23.4 percent had a history of regression recorded at the initial evaluation.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","unfortunately, the number of weil-controiled clinical studies of the autistic population that have provided clues to the etiology of the disorder are very limited. possibly, a breakthrough will result after publication of several studies reporting new observations of significant gastrointestinal pathology in autism or in attention deficit hyperactivity disorder (14-17). in this 
review, the new observations, particularly those on the intestinal tract, are described, as well as earlier studies indicating a link between gastrointestinal function and autism.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"describes","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","in a study published in 1998, 12 children diagnosed with autism (all of the regressive pattern) and exhibiting a variety of gi ailments, including abdominal pain, diarrhea, and bloating, were examined extensively (14). the gi symptoms had developed coincident with the onset of autistic behavior, according to the parents.","","","describes","coci_wakefield_ret_intext_ref.csv"
"discusses","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","secretin, a peptide hormone released by endocrine cells within the duodenal mucosa, promotes sodium bicarbonate and water secretion by the pancreas. it is important to note that this study describes altered function in the upper gi tract of autistic children, whereas the lymphoid nodular hyperplasia described by wakefield et al. (14, 15) was observed in the lowest portion of the small intestine, namely the ileum. the results of these different studies taken together suggest that significant and widespread gi pathophysiology may accompany autism, at least within a subpopulation of patients.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","pathological inflammation of the intestinal mucosa has long been recognized as a primary symptom in celiac disease and inflammatory bowel disease. the recent work detailed above indicates that there is also pathological inflammation of the ileum in autism (14-17), although there is no evidence to support the view that gluten or casein cause the inflammation. intestinal inflammation can be regarded as the consequence of the disruption of the complex interaction between all of the ceils of the mucosa (immune and nonimmune),","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","in crohn's disease, blood proteins are lost into the intestinal lumen and are excreted into the feces; the extent of protein loss correlates positively with the length of the bowel that is inflamed (53). in the study by wakefield et al. (14) examination of histological sections of intestinal tissue from autistic patients revealed a near doubling of the number of lymphoid follicles, as weil as follicle enlargement and merging of adjacent follicles. more recently, furlano et al. (54) reported that neutrophils and lymphocytes infiltrated the epithelium overlying the follicles; neutrophils also infiltrated the crypt epithelium that lies between the villi and provides a constant supply of new epithelial cells for the villi.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","there was no evidence that the enterocytes themselves were rendered more permeable, as occurs in celiac disease, wherein a near total loss of the intestinal cell lining is manifest. in keeping with this distinction, the pathology reported to occur in the ileum of autistic subjects (14-17) is much more subtle than that observed in celiac disease. these considerations do not disailow a role for gluten and casein in intestinal hyperpermeability.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","lacking is any evidence that gliadin and milk proteins, or their products, produce these cytokines in the autistic gut. vaccines. the intestinal pathology noted in the study of wakefield et al. (14), namely, the hyperplastic lymph nodes in the ileum and colon, suggests that the immune system of the gut has been seriously challenged in the autistic patients. although wakefield et al. did not draw a conclusion as to the cause of the pathology, they noted parental reports that the children had received the trivalent measles-mumps-rubella (mmr) vaccine before undergoing behavioral regression.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","these are indications of impaired cns function ( i , 85). the studies described above provide evidence that, in autism, much of the gi tract, extending from the esophagus to the colon, possesses pathology (14-17). the possibility cannot be discounted that any gi pathology that exists is unrelated to the function of the cns.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","myelin is necessary for normal conduction of the action potential in myelinated nerve fibers. wakefield et al. (14) observed that, in conjunction with the intestinal pathology observed in his autistic population, vitamin b12 absorption was significantly reduced in all eight autistic individuals in which urinary methylmalonic acid excretion was measured. methylmalonic acid is normally converted to succinyl coenzyme a by a vitamin b i 2 dependent mutase.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","how might impaired intestinal function influence autistic behavior?","","10.1177/153537020322800601","introduction","","","","","","","","","dietary vitamin bj2 deficiency results in impaired mutase activity and spillover of methylmalonic acid into the urine. wakefield et al. (14) proposed that nerve myelogenesis, which is dependent upon vitamin b12' may be impaired in autistic children as a result. direct evidence of vitamin b i 2 deficiency and impaired myelogenesis in autism is lacking at this time.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"disputes","discussion","","10.1097/01.inf.0000073059.57867.36","","","","","","","","","","parents are confused by mixed messages from the medical profession and the media as to whether vaccines are safe. the suggestion that measles may be related to autism, and doubts cast on the mmr vaccine itself 11, 12 continue to have a negative effect despite mounting evidence from several independent researchers showing no link. 13–18 the mmr immunization rate at 2 years of age was 76% nationally before the outbreak (fourth quarter of 1999), rose to 81% immediately thereafter (third quarter of 2000) and has now fallen to 69% (fourth quarter of 2001) (fig. 4). 19","","","disputes","coci_wakefield_ret_intext_ref.csv"
"disputes","","","10.1097/01.inf.0000073300.05256.00","","","","","","","","","","most regrettably, however, have been those situations where public health facilities, medical care and national economies have all been favorable to disease control, but mistaken and misleading accusations that measles, mumps and rubella (mmr) vaccine has been responsible for autism and/or other related neurologic disorders have threatened and eroded the success of control programs. this has been the situation in the countries of the uk where the original accusation of mmrs alleged responsibility for autism spectrum disorders and inflammatory bowel disease originated. 3 despite multiple epidemiologic studies as well as laboratory examinations that have proved the fallacy of this association, 4–7 it has eroded the participation of many families in mmr programs as they have sought monovalent vaccines for measles, mumps and rubella, as a mistaken preventive for these neurologic problems.","","","disputes","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1111/j.1572-0241.2003.07593.x","introduction","","","","","","","","","the etiology and pathogenesis of pervasive developmental disorders remain unknown, but recent investigations have identified developmental abnormalities of the limbic system and cerebellar–cortical connections, immune system dysregulation, and gi dysfunction as possible mechanisms (2– 4). 
a relationship between gi immune dysregulation and autism has been postulated based on incidence of gi complaints, macroscopic observations of lymphonodular hyperplasia (lnh), and histological findings of enterocolitis in pediatric patients with autism (5–7). in a cohort of 60 patients with both developmental disorders and intestinal symptoms, wakefield et al. reported the presence of ileal and colonic lnh in a significantly higher number of patients with autism compared with controls (7).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","vaccine adverse events ","","10.1097/00008480-200308000-00012","","","","","","","","","","these are vaccine-specific, typically short lived, and though unsettling to parents, tend to pose no real danger. 
an initial report proposing a link between the measles, mumps, and rubella (mmr) vaccine and autism was published in 1998 [9]. since that time the alleged association between this vaccination and developmental delay has been discussed in many forums.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"disputes","clinical correlates of autism ","","10.1177/070674370304800803","","","","","","","","","","the issue of regression in autism came to the forefront as part of the measles, mumps, rubella (mmr) vaccine controversy. a 1998 article appearing in lancet described a small group of children with autism who had diarrhea (referred to as autistic enterocolitis) and who lost previously acquired developmental skills after receiving an mmr vaccine at age 15 months (51). however, another study found that 17% of the children had bowel symptoms and that this rate did not change over the 20-year period for which data were examined and which included the introduction of the mmr vaccine in 1988 (50).","","","disputes","coci_wakefield_ret_intext_ref.csv"
"cites for information","","","10.1177/039463200301600302","introduction","","","","","","","","","if covalent adducts of drugs or other chemical compounds are formed in galt, it seems reasonable that they may lead to immune responses and chemically-induced type-i-type iv allergic reactions (10). 
many infectious agents including measles, rubella virus and cytomegalovirus have long been suspected as etiologic factors in autism (i 113). in fact, by reviewing the scientific literature, we found that over 60 different microbial peptides have been reported to cross-react with human brain tissue and mbp that induce t-cell responses but can also induce experimental autoimmune encephalomyelitis (14-16).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","patients and their families should not have to worry about harm","","10.1111/j.1945-1474.2003.tb01085.x","","","","","","","","","","the epidemiological evidence. according to the iom, research published in the lancet in 1998“provides suggestive evidence” of a link between the measles/mumps/rubella (mmr) vaccine and regressive autism (iom, 2001, p. l ) ,a form of autism characterized by loss of function or failure to progress. in this study, 12 children developed behavioral problems, including autism, after receiving the mmr vaccine (wakefield et al., 1998). the national institute of child health and human development (nichd) and the cdc initiated a long-term study to assess temporal association between the mmr vaccine and the onset of autism (bristolpower, 2001).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"credits","what is the public health burden of autism? ","","10.1016/s0033-3549(04)50270-4","","","","","","","","","","in the last five years, a great deal of attention has been focused on the possible role of childhood vaccination in autism. public anxiety was stimulated by the spread of anecdotal reports of developmental regression coincident with vaccination and the publication of a study documenting intestinal abnormalities in a small number of children with autism,58 most of whose parents reported autistic symptoms beginning just after measles, mumps, and rubella (mmr) vaccination. concurrently, others pointed to the ubiquitous presence of the potentially neurotoxic ethylmercury-containing vaccine preservative, thimerosal, in childhood vaccines.59","","","credits","coci_wakefield_ret_intext_ref.csv"
